strategy,metric,factor,bootstrap_resamples,rank1_probability,median_rank,rank_95_low,rank_95_high,loo_rank_min,loo_rank_max
combined,target_share_decisions,unknown_fake_probability,10000,0.0,8.0,8.0,10.0,8,9
combined,target_share_decisions,wom_receiver_scale,10000,0.0,5.0,2.0,6.0,4,6
combined,participation_rate,base,10000,1.0,1.0,1.0,1.0,1,1
combined,participation_rate,contacts,10000,1.0,1.0,1.0,1.0,1,1
combined,participation_rate,memory_half_life,10000,1.0,1.0,1.0,1.0,1,1
combined,participation_rate,mixed_fake_probability,10000,1.0,1.0,1.0,1.0,1,1
combined,participation_rate,source_attribute_contrast,10000,1.0,1.0,1.0,1.0,1,1
combined,participation_rate,target_fake_probability,10000,1.0,1.0,1.0,1.0,1,1
combined,participation_rate,target_reach,10000,1.0,1.0,1.0,1.0,1,1
combined,participation_rate,traditional_fake_probability,10000,1.0,1.0,1.0,1.0,1,1
combined,participation_rate,unknown_fake_probability,10000,1.0,1.0,1.0,1.0,1,1
combined,participation_rate,wom_receiver_scale,10000,1.0,1.0,1.0,1.0,1,1
combined,cumulative_fake_reposts,base,10000,0.1538,4.0,1.0,8.0,1,6
combined,cumulative_fake_reposts,contacts,10000,0.1955,4.0,1.0,6.0,2,4
combined,cumulative_fake_reposts,memory_half_life,10000,0.6342,1.0,1.0,3.0,1,3
combined,cumulative_fake_reposts,mixed_fake_probability,10000,0.0,8.0,5.0,10.0,7,10
combined,cumulative_fake_reposts,source_attribute_contrast,10000,0.0,5.0,4.0,7.0,5,6
combined,cumulative_fake_reposts,target_fake_probability,10000,0.0,9.0,7.0,10.0,7,10
combined,cumulative_fake_reposts,target_reach,10000,0.0165,3.0,2.0,4.0,2,4
combined,cumulative_fake_reposts,traditional_fake_probability,10000,0.0,8.0,6.0,8.0,7,8
combined,cumulative_fake_reposts,unknown_fake_probability,10000,0.0,9.0,9.0,10.0,9,10
combined,cumulative_fake_reposts,wom_receiver_scale,10000,0.0,5.0,2.0,6.0,4,6
combined,target_unique_reposters_p400,base,10000,0.0,4.0,3.0,7.0,4,6
combined,target_unique_reposters_p400,contacts,10000,0.0498,3.0,1.0,5.0,3,3
combined,target_unique_reposters_p400,memory_half_life,10000,0.9024,1.0,1.0,3.0,1,1
combined,target_unique_reposters_p400,mixed_fake_probability,10000,0.0,8.0,8.0,9.0,8,9
combined,target_unique_reposters_p400,source_attribute_contrast,10000,0.0,7.0,4.0,7.0,5,7
combined,target_unique_reposters_p400,target_fake_probability,10000,0.0,9.0,8.0,10.0,8,10
combined,target_unique_reposters_p400,target_reach,10000,0.0478,2.0,1.0,4.0,2,2
combined,target_unique_reposters_p400,traditional_fake_probability,10000,0.0,6.0,2.0,7.0,4,7
combined,target_unique_reposters_p400,unknown_fake_probability,10000,0.0,10.0,9.0,10.0,9,10
combined,target_unique_reposters_p400,wom_receiver_scale,10000,0.0,5.0,3.0,6.0,5,6
