condition,strategy,network_topology,user_activity,metric,n_pairs,effect,se,ci95_low,ci95_high,cohens_dz,p_value,control_mean,treatment_mean,relative_effect_percent,p_holm
top0_a0_5_credibility,credibility,0,0.5,fake_repost_share_decisions,10,0.0032442806600133044,0.001448232055098779,-3.184785682236327e-05,0.0065204091768489725,0.708402787961812,0.05182917843961152,0.24185352414654457,0.2450978048065579,1.3414237693917253,0.2591458921980576
top0_a0_5_credibility,credibility,0,0.5,target_share_decisions,10,0.00495793544105583,0.0013826278771713041,0.0018302138852282876,0.008085656996883373,1.1339543158846204,0.005876506714612725,0.12981102196077723,0.1347689574018331,3.819348593183315,0.0235060268584509
top0_a0_5_credibility,credibility,0,0.5,participation_rate,10,0.0,0.0,0.0,0.0,,,0.50013,0.50013,0.0,
top0_a0_5_credibility,credibility,0,0.5,cumulative_fake_reposts,10,323.9,144.70686461487122,-3.4496702946010487,651.249670294601,0.70781834493792,0.051985858315774264,24189.8,24513.7,1.3389941214892227,0.25992929157887135
top0_a0_5_credibility,credibility,0,0.5,target_unique_reposters_p400,10,0.0,0.0,0.0,0.0,,,500.0,500.0,0.0,
top0_a0_5_combined,combined,0,0.5,fake_repost_share_all,10,0.007742500000000004,0.0007113606875402785,0.006133290325347707,0.0093517096746523,3.4418453553447685,1.760292083276282e-06,0.12094900000000001,0.12869150000000001,6.401458465964996,8.80146041638141e-06
top0_a0_5_combined,combined,0,0.5,fake_repost_share_final100,10,0.008186000000000004,0.0013041780723675896,0.005235744232029306,0.011136255767970702,1.9848826992731512,0.00014493667918130361,0.110146,0.11833200000000002,7.431953952027313,0.0007246833959065181
top0_a0_5_combined,combined,0,0.5,target_share_all,10,0.012206999999999999,0.0004633910036051875,0.011158736722018276,0.013255263277981722,8.330313514365185,7.907197519154764e-10,0.0649175,0.0771245,18.803866445873606,4.148269763185583e-09
top0_a0_5_combined,combined,0,0.5,target_share_final100,10,0.012242,0.0011669426340275295,0.00960219236186002,0.014881807638139979,3.317438405876944,2.398343302425356e-06,0.060372,0.07261399999999998,20.277612138077252,1.199171651212678e-05
top0_a0_5_combined,combined,0,0.5,fake_repost_share_decisions,10,0.015486780969477074,0.0014287930232714892,0.012254626597727372,0.018718935341226775,3.4276134254606134,1.8227860719913025e-06,0.24185352414654457,0.25734030511602163,6.403372050966386,9.113930359956512e-06
top0_a0_5_combined,combined,0,0.5,target_share_decisions,10,0.02440948890647698,0.0009319007210551221,0.022301383015325325,0.026517594797628635,8.283026262463236,8.317884149171113e-10,0.12981102196077723,0.15422051086725425,18.803864677879492,4.158942074585556e-09
top0_a0_5_combined,combined,0,0.5,participation_rate,10,0.0,0.0,0.0,0.0,,,0.50013,0.50013,0.0,
