strategy,factor,metric,n,mu,mu_star,sigma
combined,traditional_fake_probability,target_share_final100,80,0.005538999999999997,0.005818999999999997,0.019229943923244782
combined,traditional_fake_probability,target_unique_reposters_p400,80,79.29999999999997,90.29999999999997,212.42686902448165
combined,unknown_fake_probability,cumulative_fake_reposts,80,60.950000000000045,251.65000000000055,872.5911928695026
combined,unknown_fake_probability,fake_repost_share_all,80,0.0003047500000000014,0.0012582500000000124,0.004362955964347511
combined,unknown_fake_probability,fake_repost_share_decisions,80,0.00030480312835548794,0.001258459919426685,0.004363641246306033
combined,unknown_fake_probability,fake_repost_share_final100,80,0.00011099999999999283,0.0016569999999999988,0.006001012488411939
combined,unknown_fake_probability,participation_rate,80,0.0,0.0,0.0
combined,unknown_fake_probability,target_share_all,80,1.5749999999999e-05,0.0015452500000000028,0.005542254436644577
combined,unknown_fake_probability,target_share_decisions,80,1.5757908752064717e-05,0.0015455092455705078,0.005543131837889696
combined,unknown_fake_probability,target_share_final100,80,3.599999999999849e-05,0.0017900000000000034,0.007549995657639807
combined,unknown_fake_probability,target_unique_reposters_p400,80,3.0999999999999996,13.700000000000026,43.70198269116918
combined,wom_receiver_scale,cumulative_fake_reposts,80,44.9,747.8,1945.6872372805597
combined,wom_receiver_scale,fake_repost_share_all,80,0.00022449999999999762,0.0037390000000000027,0.009728436186402798
combined,wom_receiver_scale,fake_repost_share_decisions,80,0.00022456420725225912,0.003739681368593234,0.009730109484258865
combined,wom_receiver_scale,fake_repost_share_final100,80,0.0041250000000000045,0.004881,0.014830164777971003
combined,wom_receiver_scale,participation_rate,80,0.0,0.0,0.0
combined,wom_receiver_scale,target_share_all,80,0.0028477499999999996,0.00614725,0.014798476655693785
combined,wom_receiver_scale,target_share_decisions,80,0.0028482599539821807,0.006148390752719954,0.014801150796091648
combined,wom_receiver_scale,target_share_final100,80,0.009036,0.00963,0.028351257583787683
combined,wom_receiver_scale,target_unique_reposters_p400,80,31.1,90.7,226.9578447446557
credibility,base,cumulative_fake_reposts,80,-30.95,406.95,1474.6842262289942
credibility,base,fake_repost_share_all,80,-0.00015475000000000002,0.002034750000000008,0.007373421131144968
credibility,base,fake_repost_share_decisions,80,-0.0001547491713685633,0.0020351062307007815,0.007374637927374663
credibility,base,fake_repost_share_final100,80,-0.0008409999999999952,0.0018349999999999985,0.006171975782785537
credibility,base,participation_rate,80,0.0,0.0,0.0
credibility,base,target_share_all,80,-0.0011797500000000002,0.00273625,0.00762434640900825
credibility,base,target_share_decisions,80,-0.0011799334307207923,0.0027367221503952735,0.007625550889217537
credibility,base,target_share_final100,80,-0.0024869999999999996,0.003704999999999999,0.010959820334848191
credibility,base,target_unique_reposters_p400,80,-18.35,50.65,127.48741312901879
credibility,contacts,cumulative_fake_reposts,80,126.17499999999995,222.33749999999995,838.1774875483778
credibility,contacts,fake_repost_share_all,80,0.000630875000000002,0.001111687499999991,0.004190887437741895
credibility,contacts,fake_repost_share_decisions,80,0.0006309973700679834,0.0011119109780876432,0.004191790251497462
credibility,contacts,fake_repost_share_final100,80,6.825000000000388e-05,0.0005862499999999971,0.0016467749648358594
credibility,contacts,participation_rate,80,0.0,0.0,0.0
credibility,contacts,target_share_all,80,0.00014896874999999996,0.0009058437499999997,0.001422191975379505
credibility,contacts,target_share_decisions,80,0.00014897781761124548,0.0009060260437199422,0.001422462184824036
credibility,contacts,target_share_final100,80,7.350000000000002e-05,0.0007524999999999998,0.0022077275675812507
credibility,contacts,target_unique_reposters_p400,80,3.149999999999999,19.512499999999996,47.05507142525067
credibility,memory_half_life,cumulative_fake_reposts,80,-112.99999999999997,254.8,558.9376904200966
credibility,memory_half_life,fake_repost_share_all,80,-0.0005650000000000015,0.0012739999999999928,0.0027946884521004678
credibility,memory_half_life,fake_repost_share_decisions,80,-0.0005650934720940785,0.0012742198605327237,0.002795141146447963
credibility,memory_half_life,fake_repost_share_final100,80,-0.0012260000000000025,0.001561999999999997,0.004433589168088584
credibility,memory_half_life,participation_rate,80,0.0,0.0,0.0
credibility,memory_half_life,target_share_all,80,-0.0013474999999999995,0.0021739999999999997,0.004575267993810839
credibility,memory_half_life,target_share_decisions,80,-0.001347727113284709,0.0021743796048849543,0.004576035135264731
credibility,memory_half_life,target_share_final100,80,-0.0030029999999999996,0.0030949999999999997,0.007392925184580871
credibility,memory_half_life,target_unique_reposters_p400,80,-55.94999999999999,59.549999999999976,128.49665316037505
credibility,mixed_fake_probability,cumulative_fake_reposts,80,181.94999999999996,231.14999999999992,1153.1755594384035
credibility,mixed_fake_probability,fake_repost_share_all,80,0.0009097499999999936,0.0011557500000000133,0.005765877797192023
credibility,mixed_fake_probability,fake_repost_share_decisions,80,0.0009099024108895195,0.001155954234483733,0.00576684177283909
credibility,mixed_fake_probability,fake_repost_share_final100,80,0.0001930000000000042,0.000705000000000004,0.0037663333409886854
credibility,mixed_fake_probability,participation_rate,80,0.0,0.0,0.0
credibility,mixed_fake_probability,target_share_all,80,0.0005872499999999999,0.0007507499999999996,0.004009670896246042
credibility,mixed_fake_probability,target_share_decisions,80,0.0005873597283436482,0.0007508960015020791,0.004010502048648627
