research_question,experiment,condition,n,strategy,target_reach,wom,wom_receiver_scale,wom_label_delay,wom_label_coverage,wom_label_sensitivity,wom_label_specificity,contacts,user_activity,network_topology,memory_half_life,base,source_attribute_contrast,fake_repost_share_all_mean,fake_repost_share_all_sd,fake_repost_share_final100_mean,fake_repost_share_final100_sd,target_share_all_mean,target_share_all_sd,target_share_final100_mean,target_share_final100_sd,fake_repost_share_decisions_mean,fake_repost_share_decisions_sd,target_share_decisions_mean,target_share_decisions_sd,participation_rate_mean,participation_rate_sd,cumulative_fake_reposts_mean,cumulative_fake_reposts_sd,target_unique_reposters_p400_mean,target_unique_reposters_p400_sd
RQ4,E4b-global-sensitivity,m09_combined,10,"ENGAGEMENT,PROXIMITY,INFORMATIONAL_CAMOUFLAGE,CREDIBILITY_CAMOUFLAGE",14.7,1.0,0.8125,0.0,1.0,1.0,1.0,10.0,1.0,0.0,1.2845232578665131,1.325,0.75,0.15480500000000003,0.01643466390826955,0.159168,0.02759021759005656,0.005848999999999999,0.0032202698299642184,0.00016400000000000003,0.00024672071479936805,0.15483371190563955,0.016438463213273403,0.005850063841826682,0.003220781859596574,0.9998149999999999,2.2730302828301285e-05,30961.0,3286.9327816539103,108.0,48.83077353927997
RQ4,E4b-global-sensitivity,m10_control,10,NONE,14.7,1.0,0.8125,0.0,1.0,1.0,1.0,10.0,1.0,0.0,1.2845232578665131,1.325,0.75,0.153377,0.017087817980460034,0.159052,0.027626732947153437,0.00118,0.00042230189306808566,2.0000000000000003e-06,6.324555320336758e-06,0.15340546507227062,0.017091861971679653,0.001180216610392658,0.00042237170323523605,0.9998149999999999,2.2730302828301285e-05,30675.4,3417.5635960920076,45.7,8.743886753358346
RQ4,E4b-global-sensitivity,m10_credibility,10,CREDIBILITY_CAMOUFLAGE,14.7,1.0,0.8125,0.0,1.0,1.0,1.0,10.0,1.0,0.0,1.2845232578665131,1.325,0.75,0.15351949999999998,0.017080524557713875,0.15904400000000002,0.027632786966854346,0.0016130000000000003,0.0005983087274420567,0.0,0.0,0.15354799326040808,0.017084584532002893,0.0016132949622903099,0.0005984012296686984,0.9998149999999999,2.2730302828301285e-05,30703.9,3416.1049115427745,48.0,10.687479694587598
RQ4,E4b-global-sensitivity,m10_combined,10,"ENGAGEMENT,PROXIMITY,INFORMATIONAL_CAMOUFLAGE,CREDIBILITY_CAMOUFLAGE",14.7,1.0,0.8125,0.0,1.0,1.0,1.0,10.0,1.0,0.0,1.2845232578665131,1.325,0.75,0.1560925,0.01721323541961566,0.15951600000000002,0.027900030744706275,0.0062245,0.003477004977147877,0.000796,0.001955705044791321,0.15612145771056174,0.01721721769937764,0.006225633047068387,0.0034775742477687627,0.9998149999999999,2.2730302828301285e-05,31218.5,3442.647083923132,112.9,51.24548760622734
RQ4,E4b-global-sensitivity,m11_control,10,NONE,14.7,1.0,0.8125,0.0,1.0,1.0,1.0,10.0,1.0,0.0,1.2845232578665131,1.325,0.875,0.153351,0.017276104048977912,0.159122,0.02759194640953528,0.0011129999999999998,0.0003500333317461829,2.0000000000000003e-06,6.324555320336758e-06,0.153379463182405,0.0172801996350305,0.0011132048182825487,0.0003500928573677495,0.9998149999999999,2.2730302828301285e-05,30670.2,3455.220809795583,44.2,7.495183638696105
RQ4,E4b-global-sensitivity,m11_credibility,10,CREDIBILITY_CAMOUFLAGE,14.7,1.0,0.8125,0.0,1.0,1.0,1.0,10.0,1.0,0.0,1.2845232578665131,1.325,0.875,0.153545,0.017254557368996747,0.159122,0.02759194640953528,0.0016150000000000001,0.0006140801612529462,2.0000000000000003e-06,6.324555320336758e-06,0.153573497883703,0.017258638491031583,0.0016152941994242338,0.0006141715531731015,0.9998149999999999,2.2730302828301285e-05,30709.0,3450.9114737993496,45.4,8.342661445845685
RQ4,E4b-global-sensitivity,m11_combined,10,"ENGAGEMENT,PROXIMITY,INFORMATIONAL_CAMOUFLAGE,CREDIBILITY_CAMOUFLAGE",14.7,1.0,0.8125,0.0,1.0,1.0,1.0,10.0,1.0,0.0,1.2845232578665131,1.325,0.875,0.15634350000000002,0.017510629795450913,0.15956,0.02750676522845486,0.006708,0.004242496120603216,0.0007080000000000001,0.0013073195647753631,0.1563724948253906,0.017514574471547743,0.006709203208529221,0.004243185451585988,0.9998149999999999,2.2730302828301285e-05,31268.7,3502.125959090183,112.7,51.76238445477995
RQ4,E4b-global-sensitivity,m12_control,10,NONE,7.85,1.0,0.8125,0.0,1.0,1.0,1.0,7.0,1.0,0.0,0.33,1.325,0.75,0.09168,0.015667638090450433,0.093844,0.02539918073919358,0.0020695,0.0009428987514869003,0.0019140000000000001,0.0010203724810087737,0.09169886916866857,0.015671670901225895,0.0020699240057259673,0.0009431023657941136,0.9997959999999999,2.8067379246700386e-05,18336.0,3133.527618090087,62.8,17.485231863871103
RQ4,E4b-global-sensitivity,m12_credibility,10,CREDIBILITY_CAMOUFLAGE,7.85,1.0,0.8125,0.0,1.0,1.0,1.0,7.0,1.0,0.0,0.33,1.325,0.75,0.09129699999999999,0.015071750469743793,0.094052,0.025203058368204266,0.0024485,0.001209141224175241,0.002486,0.001301931897860509,0.09131578656583425,0.01507564719959526,0.00244900371265202,0.0012094014633165912,0.9997959999999999,2.8067379246700386e-05,18259.4,3014.3500939487585,75.8,25.253382611708343
RQ4,E4b-global-sensitivity,m12_combined,10,"ENGAGEMENT,PROXIMITY,INFORMATIONAL_CAMOUFLAGE,CREDIBILITY_CAMOUFLAGE",7.85,1.0,0.8125,0.0,1.0,1.0,1.0,7.0,1.0,0.0,0.33,1.325,0.75,0.0938665,0.017250266350600695,0.09653199999999998,0.027020191955893526,0.0060615,0.004622322077580584,0.006793999999999999,0.004310019850431215,0.0938858318225805,0.017254654945791002,0.006062765479981105,0.004623336474231333,0.9997959999999999,2.8067379246700386e-05,18773.3,3450.053270120139,178.3,95.2797635037647
