condition,strategy,window,window_start,window_end,source,n_pairs,effect,se,ci95_low,ci95_high,cohens_dz,p_value
credibility_p101_d25,CREDIBILITY_CAMOUFLAGE,during,101,125,MIXED_SOURCE,30,-6.400000000000017e-05,0.0002662543939521949,-0.0006085513788591075,0.00048055137885910724,-0.04388565281495986,0.8117333152165095
credibility_p101_d25,CREDIBILITY_CAMOUFLAGE,post_1_25,126,150,TRADITIONAL_MEDIA,30,0.000541333333333352,0.0003997550207669083,-0.00027625748473050305,0.001358924151397207,0.2472351501905009,0.18614328201148728
credibility_p101_d25,CREDIBILITY_CAMOUFLAGE,post_1_25,126,150,UNKNOWN_MEDIA,30,-0.00013066666666666568,0.0003071556321728109,-0.0007588704703345078,0.0004975371370011765,-0.07766864020590404,0.6736791636418943
credibility_p101_d25,CREDIBILITY_CAMOUFLAGE,post_1_25,126,150,FAKE_NEWS_SOURCE,30,-0.00011733333333333314,0.00016172556102274807,-0.00044809924462759876,0.0002134325779609325,-0.13245919611701498,0.4739543622340187
credibility_p101_d25,CREDIBILITY_CAMOUFLAGE,post_1_25,126,150,MIXED_SOURCE,30,-0.00029333333333333343,0.00016588413996738893,-0.0006326044935543276,4.593782688766063e-05,-0.32284638255438175,0.08753024533050109
credibility_p101_d25,CREDIBILITY_CAMOUFLAGE,post_26_50,151,175,TRADITIONAL_MEDIA,30,-1.0666666666669933e-05,0.0001261552895764674,-0.0002686832044202959,0.000247349871086956,-0.015436990305989193,0.9331986653145142
credibility_p101_d25,CREDIBILITY_CAMOUFLAGE,post_26_50,151,175,UNKNOWN_MEDIA,30,-4.2666666666667645e-05,6.181718195351758e-05,-0.0001690969995911126,8.37636662577773e-05,-0.12601402527245545,0.49555101571237464
credibility_p101_d25,CREDIBILITY_CAMOUFLAGE,post_26_50,151,175,FAKE_NEWS_SOURCE,30,2.666666666666665e-05,6.236218522144552e-05,-0.00010087832309640371,0.000154211656429737,0.07807046751670292,0.6720940472822192
credibility_p101_d25,CREDIBILITY_CAMOUFLAGE,post_26_50,151,175,MIXED_SOURCE,30,2.666666666666665e-05,5.8339736922740405e-05,-9.265149260194576e-05,0.00014598482593527906,0.0834533237962496,0.6510101996577767
credibility_p101_d25,CREDIBILITY_CAMOUFLAGE,post_51_100,176,225,TRADITIONAL_MEDIA,30,-0.0005386666666666614,0.0005680043170738721,-0.001700365932805487,0.0006230325994721644,-0.17314415603351538,0.35078791847182134
credibility_p101_d25,CREDIBILITY_CAMOUFLAGE,post_51_100,176,225,UNKNOWN_MEDIA,30,0.0004026666666666661,0.00041102029855440744,-0.00043796423145504133,0.0012432975647883736,0.1788635235002893,0.3353487999205842
credibility_p101_d25,CREDIBILITY_CAMOUFLAGE,post_51_100,176,225,FAKE_NEWS_SOURCE,30,6.26666666666669e-05,7.417118028368138e-05,-8.903042984148695e-05,0.00021436376317482075,0.15425554240749692,0.40508768853048116
credibility_p101_d25,CREDIBILITY_CAMOUFLAGE,post_51_100,176,225,MIXED_SOURCE,30,7.333333333333344e-05,8.33788381505824e-05,-9.719553797882275e-05,0.00024386220464548965,0.16057759888335119,0.386349722502974
credibility_p101_d100,CREDIBILITY_CAMOUFLAGE,during,101,200,TRADITIONAL_MEDIA,30,0.0010439999999999996,0.0003464956253559417,0.0003353368761527198,0.0017526631238472794,0.5501005959772045,0.005323194900484694
credibility_p101_d100,CREDIBILITY_CAMOUFLAGE,during,101,200,UNKNOWN_MEDIA,30,-0.0008086666666666668,0.00016200378407197716,-0.0011400016079883403,-0.0004773317253449933,-0.9113469733090843,2.5961755482332273e-05
credibility_p101_d100,CREDIBILITY_CAMOUFLAGE,during,101,200,FAKE_NEWS_SOURCE,30,0.0004159999999999996,0.00015757180446773569,9.37294747382483e-05,0.0007382705252617508,0.4820079427530743,0.013205024028867182
credibility_p101_d100,CREDIBILITY_CAMOUFLAGE,during,101,200,MIXED_SOURCE,30,-0.0006513333333333331,0.00011385687055764385,-0.0008841967799582925,-0.0004184698867083737,-1.0444398520540794,3.436588503211571e-06
credibility_p101_d100,CREDIBILITY_CAMOUFLAGE,post_1_25,201,225,TRADITIONAL_MEDIA,30,0.0009306666666666797,0.0004820108582106305,-5.5156228375525087e-05,0.0019164895617088844,0.35251427650669986,0.06333672972790622
credibility_p101_d100,CREDIBILITY_CAMOUFLAGE,post_1_25,201,225,UNKNOWN_MEDIA,30,-0.0004400000000000004,0.00019815238534040398,-0.0008452671321574963,-3.47328678425045e-05,-0.40540840136454476,0.034356148354625374
credibility_p101_d100,CREDIBILITY_CAMOUFLAGE,post_1_25,201,225,FAKE_NEWS_SOURCE,30,-0.00021066666666666665,8.520824164624245e-05,-0.00038493708823556796,-3.6396245097765334e-05,-0.4513917246284097,0.019530070851923736
credibility_p101_d100,CREDIBILITY_CAMOUFLAGE,post_1_25,201,225,MIXED_SOURCE,30,-0.00028000000000000014,0.00021815527529246473,-0.000726177635615769,0.00016617763561576878,-0.23433204613219494,0.20948232678227094
credibility_p101_d100,CREDIBILITY_CAMOUFLAGE,post_26_50,226,250,TRADITIONAL_MEDIA,30,0.0001706666666666597,0.00020353594578367357,-0.00024561108288962416,0.0005869444162229436,0.1530900480299711,0.40860357970724465
credibility_p101_d100,CREDIBILITY_CAMOUFLAGE,post_26_50,226,250,UNKNOWN_MEDIA,30,-8.799999999999989e-05,5.745242909743155e-05,-0.00020550341100259432,2.9503411002594526e-05,-0.279649243833332,0.13643328987224154
credibility_p101_d100,CREDIBILITY_CAMOUFLAGE,post_26_50,226,250,FAKE_NEWS_SOURCE,30,-4.799999999999985e-05,5.773980479245874e-05,-0.00016609116029249238,7.009116029249266e-05,-0.15177676737187754,0.41258812648136284
credibility_p101_d100,CREDIBILITY_CAMOUFLAGE,post_26_50,226,250,MIXED_SOURCE,30,-3.4666666666666746e-05,0.00010022014083183324,-0.00023963986943464612,0.00017030653610131265,-0.06315335809497842,0.7319108849987811
credibility_p101_d100,CREDIBILITY_CAMOUFLAGE,post_51_100,251,300,TRADITIONAL_MEDIA,30,3.99999999999993e-05,3.73366172611522e-05,-3.6361956359472714e-05,0.00011636195635947132,0.19559799384934204,0.29285452328765643
credibility_p101_d100,CREDIBILITY_CAMOUFLAGE,post_51_100,251,300,UNKNOWN_MEDIA,30,-1.4666666666666532e-05,1.4666666666666536e-05,-4.4663368084612577e-05,1.533003475127951e-05,-0.18257418583505533,0.3255819880161937
credibility_p101_d100,CREDIBILITY_CAMOUFLAGE,post_51_100,251,300,FAKE_NEWS_SOURCE,30,-8.000000000000022e-06,5.880026585286697e-06,-2.0026004668756712e-05,4.026004668756669e-06,-0.24839912974802164,0.18414134229197163
credibility_p101_d100,CREDIBILITY_CAMOUFLAGE,post_51_100,251,300,MIXED_SOURCE,30,-1.7333333333333322e-05,1.733333333333332e-05,-5.278398046363347e-05,1.811731379696683e-05,-0.1825741858350554,0.3255819880161935
credibility_p101_permanent,CREDIBILITY_CAMOUFLAGE,during,101,400,TRADITIONAL_MEDIA,30,0.0012511111111111065,0.00022972854953365825,0.0007812634719607177,0.0017209587502614952,0.9943065107231487,7.347731501676614e-06
credibility_p101_permanent,CREDIBILITY_CAMOUFLAGE,during,101,400,UNKNOWN_MEDIA,30,-0.0008504444444444439,9.36648100241856e-05,-0.0010420104903306367,-0.0006588783985582512,-1.6577111724488374,5.627417236939274e-10
credibility_p101_permanent,CREDIBILITY_CAMOUFLAGE,during,101,400,FAKE_NEWS_SOURCE,30,0.0002900000000000001,8.492788616995938e-05,0.00011630296976152717,0.0004636970302384731,0.6234290794216691,0.0019062217656147112
credibility_p101_permanent,CREDIBILITY_CAMOUFLAGE,during,101,400,MIXED_SOURCE,30,-0.000690666666666667,8.317615828944343e-05,-0.0008607810111189584,-0.0005205523222143756,-1.5160342451892541,3.7382705326846625e-09
credibility_p201_d25,CREDIBILITY_CAMOUFLAGE,during,201,225,TRADITIONAL_MEDIA,30,5.333333333332376e-05,0.00023342198644255753,-0.00042406823246449285,0.0005307348991311404,0.04171539305102024,0.820873043099229
