condition,policy,strategy,target_reach,wom_receiver_scale,metric,n_pairs,effect,se,ci95_low,ci95_high,cohens_dz,p_value,control_mean,treatment_mean,relative_effect_percent,p_holm
discovery_combined_r1_0,discovery,combined,1.0,0.5,fake_repost_share_all,30,0.0014061666666666593,0.0002574025519585786,0.000879719337440371,0.0019326139958929477,0.9973861267559311,7.0119922043438065e-06,0.14712783333333332,0.148534,0.9557448341408272,9.115589865646949e-05
discovery_combined_r1_0,discovery,combined,1.0,0.5,fake_repost_share_final100,30,0.001817999999999997,0.00034752768846938446,0.0011072260700805523,0.0025287739299194416,0.9550889925059041,1.3339050580728329e-05,0.141412,0.14323,1.2856051820213255,0.00020008575871092494
discovery_combined_r1_0,discovery,combined,1.0,0.5,target_share_all,30,0.0027519999999999997,0.0005006300972303539,0.0017280964854007026,0.003775903514599297,1.0036235579877326,6.3784543249647094e-06,0.000438,0.0031899999999999997,628.3105022831049,7.016299757461181e-05
discovery_combined_r1_0,discovery,combined,1.0,0.5,target_share_final100,30,0.0036966666666666667,0.0006816390546075565,0.00230255826694798,0.0050907750663853535,0.9901367922042369,7.828195043628818e-06,0.00022066666666666667,0.0039173333333333326,1675.226586102719,0.00012525112069806108
discovery_combined_r1_0,discovery,combined,1.0,0.5,fake_repost_share_decisions,30,0.0014064780845937745,0.0002574637847699192,0.0008799055202066613,0.0019330506489808877,0.9973697520955505,7.013735980290564e-06,0.14715849301952003,0.14856497110411382,0.9557573305722902,9.117856774377732e-05
discovery_combined_r1_0,discovery,combined,1.0,0.5,target_share_decisions,30,0.002752606800783944,0.0005007471814362177,0.0017284638220961886,0.0037767497794716992,1.0036101334325285,6.379754156308698e-06,0.0004380947125481595,0.0031907015133321027,628.3131756540776,7.017729571939568e-05
discovery_combined_r1_0,discovery,combined,1.0,0.5,participation_rate,30,0.0,0.0,0.0,0.0,,,0.9997921666666667,0.9997921666666667,0.0,
discovery_combined_r1_0,discovery,combined,1.0,0.5,cumulative_fake_reposts,30,281.23333333333335,51.480510391715924,175.94386748807528,386.5227991785914,0.9973861267559324,7.011992204343666e-06,29425.566666666666,29706.8,0.9557448341408323,9.115589865646766e-05
discovery_combined_r1_0,discovery,combined,1.0,0.5,target_unique_reposters_p400,30,2.7666666666666666,0.5584941439373027,1.6244178885285667,3.9089154448047667,0.9044354710375601,2.884239745554679e-05,3.6,6.366666666666666,76.85185185185185,0.0011536958982218716
flag_only_credibility_r14_7,flag_only,credibility,14.7,0.5,fake_repost_share_all,30,0.019242333333333323,0.0006091980659234752,0.01799638339097672,0.020488283275689925,5.7668491389159895,5.148424440731086e-24,0.3039506666666666,0.323193,6.330742269578833,2.3682752427362993e-22
flag_only_credibility_r14_7,flag_only,credibility,14.7,0.5,fake_repost_share_final100,30,0.012748,0.0007731170525939103,0.011166798087196667,0.014329201912803334,3.0104829704846936,2.853489621291341e-16,0.3274033333333333,0.3401513333333333,3.8936683601266537,1.0557911598777961e-14
