policy,metric,n_pairs,effect,se,ci95_low,ci95_high,cohens_dz,p_value,control_mean,treatment_mean
flag_only,fake_repost_share_decisions,30,0.06456806143320161,0.0013686627971216316,0.06176883171044419,0.06736729115595903,8.613123168034058,5.687939121587465e-29,0.3040049734103568,0.3685730348435584
flag_only,target_share_decisions,30,0.14985570995947198,0.002541713170139743,0.1446573228421031,0.15505409707684087,10.764308325585201,9.446744041247193e-32,0.16406115694204595,0.31391686690151793
flag_only,participation_rate,30,0.0,0.0,0.0,0.0,,,0.9998211666666665,0.9998211666666665
flag_only,selections_traditional_media_all,30,-6086.066666666667,335.68973062791497,-6772.629254306421,-5399.504079026912,-3.3100764343493303,2.306258696936353e-17,54061.73333333333,47975.666666666664
flag_only,selections_unknown_media_all,30,-14674.966666666667,525.0842942363062,-15748.88462985709,-13601.048703476245,-5.102552334420954,1.6051005038367639e-22,61712.3,47037.333333333336
flag_only,selections_fake_news_source_all,30,29965.766666666666,508.21783881109855,28926.344478069586,31005.188855263747,10.765020497683546,9.428781810005812e-32,32806.36666666667,62772.13333333333
flag_only,selections_mixed_source_all,30,-9204.733333333334,316.60336669209045,-9852.259923691006,-8557.20674297566,-5.30805061146595,5.306535211226068e-23,51383.833333333336,42179.1
imperfect_fast,receiver_period_rate,30,0.0,0.0,0.0,0.0,,,1.0,1.0
imperfect_fast,mean_contacts_per_receiver,30,0.0,0.0,0.0,0.0,,,4.999125999999999,4.999125999999999
imperfect_fast,duplicate_rate,30,-0.010393669872131238,0.0009398834495858326,-0.012315947363374121,-0.008471392380888355,-2.018990562690411,6.419160338012732e-12,0.42238987667484,0.4119962068027087
imperfect_fast,tie_rate,30,3.8333333333333285e-06,1.1417704877703303e-06,1.4981504872331344e-06,6.168516179433522e-06,0.612967071634883,0.0022127666129525153,0.001288833333333333,0.001292666666666667
imperfect_fast,discovery_rate,30,0.0,0.0,0.0,0.0,,,0.006010500000000003,0.006010500000000003
imperfect_fast,realised_coverage,30,0.0,0.0,0.0,0.0,,,0.7998526666666667,0.7998526666666667
imperfect_fast,realised_sensitivity,30,0.00014259597214155335,0.0001921706539869357,-0.00025043714574055466,0.0005356290900236613,0.13547512576437518,0.4640383156640055,0.9000178065634359,0.9001604025355775
imperfect_fast,realised_specificity,30,-0.00011902043287238909,6.003479659035579e-05,-0.0002418053784183921,3.7645126736139158e-06,-0.3619577289098885,0.05696572104807741,0.9500607738965756,0.9499417534637029
imperfect_fast,reward_rate,30,0.0,0.0,0.0,0.0,,,0.0,0.0
imperfect_fast,penalty_rate,30,0.14687462995429865,0.0018810399209663498,0.14302747134990332,0.15072178855869398,14.255686806452854,2.8769706295913104e-35,0.236514767346388,0.3833893973006867
imperfect_fast,ignore_rate,30,-0.1468746299542987,0.00188103992096635,-0.15072178855869403,-0.14302747134990337,-14.255686806452857,2.876970629591296e-35,0.7634852326536119,0.6166106026993133
imperfect_fast,delivery_completion,30,0.000959908010597225,0.0008614804883907653,-0.0008020174203785261,0.002721833441572976,0.20343400213127186,0.2743201261202905,0.98161604919685,0.9825759572074475
imperfect_fast,fake_repost_share_decisions,30,0.09097189931984677,0.0016809142328202335,0.08753404370500008,0.09440975493469346,9.881004115434797,1.1072306916628143e-30,0.2857491129299676,0.37672101224981436
imperfect_fast,target_share_decisions,30,0.20327847408281532,0.0029560834519139914,0.19723260458234287,0.20932434358328778,12.554923603199496,1.1236814154308033e-33,0.13670467277577256,0.3399831468585878
imperfect_fast,participation_rate,30,0.0,0.0,0.0,0.0,,,0.9998211666666665,0.9998211666666665
imperfect_fast,selections_traditional_media_all,30,-11616.633333333333,524.04555273468,-12688.426831614117,-10544.83983505255,-4.047162239828208,9.923842944290561e-20,59965.53333333333,48348.9
imperfect_fast,selections_unknown_media_all,30,-19675.066666666666,856.2019204500626,-21426.19621402208,-17923.937119311253,-4.1954580947784885,3.6904384496185694e-20,64576.1,44901.03333333333
imperfect_fast,selections_fake_news_source_all,30,40648.433333333334,591.1340468463952,39439.428458249226,41857.43820841744,12.554436106151538,1.1249399964500305e-33,27336.033333333333,67984.46666666666
imperfect_fast,selections_mixed_source_all,30,-9356.733333333334,276.1715897285238,-9921.567654961022,-8791.899011705646,-6.185639775938977,7.100705312747976e-25,48086.566666666666,38729.833333333336
imperfect_delayed,receiver_period_rate,30,0.0,0.0,0.0,0.0,,,1.0,1.0
imperfect_delayed,mean_contacts_per_receiver,30,0.0,0.0,0.0,0.0,,,4.999125999999999,4.999125999999999
imperfect_delayed,duplicate_rate,30,-0.011127879175571453,0.001498737928875383,-0.014193142413495962,-0.008062615937646945,-1.3555828817085698,3.505939855670104e-08,0.46453053928961896,0.45340266011404745
imperfect_delayed,tie_rate,30,3.166666666666675e-06,1.3451345557898942e-06,4.1555760050817765e-07,5.917775732825173e-06,0.4298094833629286,0.025550343384369192,0.001288333333333333,0.0012915
imperfect_delayed,discovery_rate,30,0.00011216666666666675,1.642762485076732e-05,7.856840137204161e-05,0.00014576493196129188,1.2466036953322672,1.6911250901334424e-07,0.0058983333333333336,0.006010500000000003
imperfect_delayed,realised_coverage,30,0.0,0.0,0.0,0.0,,,0.5001065,0.5001065
imperfect_delayed,realised_sensitivity,30,-0.0005550598073916114,0.0005278725528473001,-0.0016346803997431714,0.0005245607849599487,-0.19197738521858895,0.3017109077779968,0.7507036876946551,0.7501486278872634
imperfect_delayed,realised_specificity,30,0.00011381294857096083,0.0001502864138741153,-0.00019355727989420332,0.000421183177036125,0.13826470329004997,0.45497563282999154,0.8998936003595085,0.9000074133080794
imperfect_delayed,reward_rate,30,0.0,0.0,0.0,0.0,,,0.0,0.0
imperfect_delayed,penalty_rate,30,0.143856811789504,0.0016254607231697043,0.14053237133635485,0.14718125224265313,16.158212816166195,7.71938301131723e-37,0.21376271216420142,0.3576195239537055
imperfect_delayed,ignore_rate,30,-0.14385681178950396,0.0016254607231697064,-0.1471812522426531,-0.14053237133635482,-16.15821281616617,7.719383011317564e-37,0.7862372878357984,0.6423804760462947
imperfect_delayed,delivery_completion,30,-0.008506756285847713,0.0013900225881831303,-0.01134967168643387,-0.005663840885261555,-1.117330118365867,1.1469969008195147e-06,0.9303260148797574,0.9218192585939097
imperfect_delayed,fake_repost_share_decisions,30,0.15131068230855121,0.0019898682331297036,0.14724094481421612,0.1553804198028863,13.883042188768776,6.179702979205428e-35,0.22825685884658112,0.37956754115513236
imperfect_delayed,target_share_decisions,30,0.3122766734041545,0.002422212035401177,0.3073226935498214,0.3172306532584876,23.537848284450515,1.450944860834286e-41,0.06987034993156935,0.38214702333572365
imperfect_delayed,participation_rate,30,0.0,0.0,0.0,0.0,,,0.9998211666666665,0.9998211666666665
imperfect_delayed,selections_traditional_media_all,30,-26323.933333333334,1145.1788977678204,-28666.087160592935,-23981.779506073734,-4.19678593945242,3.658417189080697e-20,80523.53333333334,54199.6
imperfect_delayed,selections_unknown_media_all,30,-29062.566666666666,1162.4602029359808,-31440.06473151093,-26685.0686018224,-4.564521378058654,3.586346550885153e-21,69835.36666666667,40772.8
imperfect_delayed,selections_fake_news_source_all,30,62444.166666666664,484.35922615522236,61453.54081989355,63434.79251343978,23.537680865113934,1.4512436751277477e-41,13971.566666666668,76415.73333333334
imperfect_delayed,selections_mixed_source_all,30,-7057.666666666667,326.7087469964413,-7725.861080367822,-6389.472252965512,-3.9440258560812618,2.0129140501085142e-19,35633.76666666667,28576.1
