research_question,condition,strategy,start_period,end_period,target_reach,wom,contacts,memory,memory_half_life,n,fake_repost_share_all_mean,fake_repost_share_all_sd,fake_repost_share_final100_mean,fake_repost_share_final100_sd,target_share_all_mean,target_share_all_sd,target_share_final100_mean,target_share_final100_sd,cumulative_fake_reposts_mean,cumulative_fake_reposts_sd,target_unique_reposters_p400_mean,target_unique_reposters_p400_sd,fake_repost_share_during_mean,fake_repost_share_during_sd,fake_repost_share_post100_mean,fake_repost_share_post100_sd
RQ2,informational_p1_d25,INFORMATIONAL_CAMOUFLAGE,1.0,25.0,,1.0,5.0,-1.0,0.33,30,0.11456500000000001,0.01901528024402009,0.10053066666666663,0.03547979696452163,0.013433166666666666,0.004830431815375154,0.008738,0.00471770940912701,22913.0,3803.056048804018,462.03333333333336,22.243919484276788,0.1796613333333333,0.05010241949786687,0.11386399999999999,0.04122695348668275
RQ2,informational_p1_d100,INFORMATIONAL_CAMOUFLAGE,1.0,100.0,,1.0,5.0,-1.0,0.33,30,0.11459866666666668,0.019137060539486047,0.10053399999999998,0.03547566631776851,0.013631833333333334,0.005048823263947225,0.008743333333333332,0.0047144095570139394,22919.733333333334,3827.4121078972094,462.93333333333334,22.41910105142539,0.13656666666666667,0.03706587475379972,0.11381266666666666,0.03996845945573044
RQ2,informational_p1_permanent,INFORMATIONAL_CAMOUFLAGE,1.0,-1.0,,1.0,5.0,-1.0,0.33,30,0.114568,0.019107970470911905,0.10059866666666667,0.035716241039938514,0.014151166666666666,0.005260452105149777,0.009443333333333335,0.005289954261801705,22913.6,3821.5940941823815,465.3666666666667,20.82850058889524,0.114568,0.019107970470911905,,
RQ2,informational_p101_d25,INFORMATIONAL_CAMOUFLAGE,101.0,125.0,,1.0,5.0,-1.0,0.33,30,0.11459983333333333,0.01908562568347931,0.10054133333333333,0.03545739937692431,0.013309833333333333,0.0048532910063125234,0.008755333333333334,0.004700977692392064,22919.966666666667,3817.125136695862,459.4,23.373430244174912,0.08988533333333333,0.07883517137951043,0.11819266666666665,0.02932732583989785
RQ2,informational_p101_d100,INFORMATIONAL_CAMOUFLAGE,101.0,200.0,,1.0,5.0,-1.0,0.33,30,0.1145095,0.018995524398004192,0.100556,0.03544542318590069,0.013415666666666663,0.004913244018121754,0.008761999999999999,0.004699808800219503,22901.9,3799.1048796008386,460.4,23.426480742954116,0.113482,0.03953360416065091,0.10732266666666668,0.03886377365862077
RQ2,informational_p101_permanent,INFORMATIONAL_CAMOUFLAGE,101.0,-1.0,,1.0,5.0,-1.0,0.33,30,0.11457083333333336,0.01900217501540526,0.10060466666666668,0.035679060094058,0.013795333333333331,0.004983382892922364,0.009456,0.005260702457355632,22914.166666666668,3800.4350030810524,462.46666666666664,22.236554764983083,0.107202,0.018633313647101645,,
RQ2,informational_p201_d25,INFORMATIONAL_CAMOUFLAGE,201.0,225.0,,1.0,5.0,-1.0,0.33,30,0.11465,0.019126070490662558,0.10054266666666667,0.035451024491137975,0.0133205,0.004836684592241631,0.008756666666666666,0.0046999929077960675,22930.0,3825.2140981325115,459.9,23.15368444650388,0.10837599999999999,0.06450973610559721,0.10603,0.02940676429338829
RQ2,informational_p201_d100,INFORMATIONAL_CAMOUFLAGE,201.0,300.0,,1.0,5.0,-1.0,0.33,30,0.11467383333333334,0.019168269698831102,0.10045866666666665,0.03537963331259007,0.013475333333333336,0.004907346873141671,0.008682,0.004559359755416361,22934.766666666666,3833.6539397662195,460.7,22.56966227422142,0.10769000000000001,0.039108077567613614,0.10045866666666665,0.03537963331259007
RQ2,informational_p201_permanent,INFORMATIONAL_CAMOUFLAGE,201.0,-1.0,,1.0,5.0,-1.0,0.33,30,0.11470533333333334,0.019140517906972278,0.1005846666666667,0.03569517138535526,0.013666500000000002,0.004880618981023928,0.009446666666666667,0.005263271130058354,22941.066666666666,3828.1035813944554,461.73333333333335,22.20272324603966,0.10413733333333332,0.02367429086194752,,
RQ3,control_reach14_7_wom0,NONE,,,14.7,0.0,5.0,-1.0,0.33,30,0.14483200000000002,0.014725586142540449,0.1422733333333333,0.028744523356432718,0.016941666666666667,0.004996213451262337,0.014686666666666669,0.005517319022442177,28966.4,2945.1172285080897,40.46666666666667,4.775897340008352,0.14483200000000002,0.014725586142540449,,
RQ3,control_reach14_7_wom1,NONE,,,14.7,1.0,5.0,-1.0,0.33,30,0.098195,0.0145080396855413,0.09724733333333331,0.035242704692219476,0.0022168333333333337,0.0007404896834287213,0.0018513333333333335,0.0015038587913656708,19639.0,2901.6079371082606,87.36666666666666,19.962867828897306,0.098195,0.0145080396855413,,
RQ3,control_reach10_0_wom0,NONE,,,10.0,0.0,5.0,-1.0,0.33,30,0.13899883333333332,0.01239115122837131,0.14060799999999998,0.025517563714646318,0.0115685,0.004063596621221157,0.010419333333333333,0.004406545236297959,27799.766666666666,2478.230245674262,28.566666666666666,4.804332336069424,0.13899883333333332,0.01239115122837131,,
RQ3,control_reach10_0_wom1,NONE,,,10.0,1.0,5.0,-1.0,0.33,30,0.0988935,0.017789045018561673,0.09840666666666667,0.03465744815539191,0.001551,0.0005616576451405497,0.0013573333333333332,0.0012540993012801116,19778.7,3557.8090037123343,64.16666666666667,15.315269219454414,0.0988935,0.017789045018561673,,
RQ3,control_reach5_0_wom0,NONE,,,5.0,0.0,5.0,-1.0,0.33,30,0.13599983333333332,0.01051526865901506,0.13633533333333334,0.021908842921544703,0.005755166666666666,0.003538972304393518,0.005399999999999999,0.003541867810380124,27199.966666666667,2103.053731803012,14.266666666666667,3.6287485572789446,0.13599983333333332,0.01051526865901506,,
RQ3,control_reach5_0_wom1,NONE,,,5.0,1.0,5.0,-1.0,0.33,30,0.09756116666666666,0.017183175396165935,0.09137733333333334,0.03747222961932847,0.0007536666666666667,0.0002566795040826048,0.0006533333333333335,0.000581112686165935,19512.233333333334,3436.6350792331873,30.8,9.363907230461528,0.09756116666666666,0.017183175396165935,,
RQ3,control_reach1_0_wom0,NONE,,,1.0,0.0,5.0,-1.0,0.33,30,0.13558266666666666,0.011912118049985137,0.132236,0.023428605798364793,0.0010963333333333333,0.001214444624973258,0.0009866666666666665,0.0012424595555294493,27116.533333333333,2382.4236099970267,2.8,1.7300587990805003,0.13558266666666666,0.011912118049985137,,
RQ3,control_reach1_0_wom1,NONE,,,1.0,1.0,5.0,-1.0,0.33,30,0.09352483333333333,0.01043157487063239,0.09953999999999999,0.03076987689507274,0.00019600000000000002,0.00022047519213015234,0.00021866666666666665,0.0004377980429796159,18704.966666666667,2086.3149741264783,8.166666666666666,9.847398863040741,0.09352483333333333,0.01043157487063239,,
RQ3,control_reach0_0_wom0,NONE,,,0.0,0.0,5.0,-1.0,0.33,30,0.13412299999999996,0.013509372965872048,0.126268,0.02242719998819168,0.0,0.0,0.0,0.0,26824.6,2701.8745931744093,0.0,0.0,0.13412299999999996,0.013509372965872048,,
RQ3,control_reach0_0_wom1,NONE,,,0.0,1.0,5.0,-1.0,0.33,30,0.09563683333333334,0.01124137887935441,0.09309266666666668,0.030082766968910078,0.0,0.0,0.0,0.0,19127.366666666665,2248.275775870882,0.0,0.0,0.09563683333333334,0.01124137887935441,,
RQ3,credibility_reach14_7_wom0,CREDIBILITY_CAMOUFLAGE,1.0,-1.0,14.7,0.0,5.0,-1.0,0.33,30,0.147966,0.014679782919094005,0.14483533333333334,0.02856903879151807,0.022921833333333332,0.005623109564836961,0.019341333333333332,0.0058666960291846185,29593.2,2935.9565838188014,40.46666666666667,4.775897340008352,0.147966,0.014679782919094005,,
RQ3,credibility_reach14_7_wom1,CREDIBILITY_CAMOUFLAGE,1.0,-1.0,14.7,1.0,5.0,-1.0,0.33,30,0.09829233333333334,0.014494060063572137,0.09740933333333332,0.03543507661502432,0.002545333333333332,0.0007995083978051259,0.0023146666666666667,0.0019693509053761208,19658.466666666667,2898.8120127144275,103.36666666666666,24.063827960072228,0.09829233333333334,0.014494060063572137,,
RQ3,credibility_reach10_0_wom0,CREDIBILITY_CAMOUFLAGE,1.0,-1.0,10.0,0.0,5.0,-1.0,0.33,30,0.141108,0.012660360456817638,0.142242,0.025423508724447715,0.015408333333333333,0.004822733938719631,0.01333,0.005027663473224914,28221.6,2532.0720913635278,28.566666666666666,4.804332336069424,0.141108,0.012660360456817638,,
RQ3,credibility_reach10_0_wom1,CREDIBILITY_CAMOUFLAGE,1.0,-1.0,10.0,1.0,5.0,-1.0,0.33,30,0.098983,0.017798473907846026,0.09847333333333334,0.03464532543811132,0.0017841666666666668,0.0006483242102599557,0.0016679999999999998,0.0015464361699036294,19796.6,3559.694781569206,74.4,19.069021637380786,0.098983,0.017798473907846026,,
RQ3,credibility_reach5_0_wom0,CREDIBILITY_CAMOUFLAGE,1.0,-1.0,5.0,0.0,5.0,-1.0,0.33,30,0.13709033333333334,0.010605256336082735,0.13709600000000002,0.022054712155815188,0.007887,0.004060125401494647,0.006936,0.004196226219206803,27418.066666666666,2121.051267216547,14.266666666666667,3.6287485572789446,0.13709033333333334,0.010605256336082735,,
