study,research_question,experiment,condition,seed,strategy,from,to,start_period,end_period,target_reach,memory,memory_half_life,wom,contacts,friends,status,fake_repost_share_all,fake_repost_share_final100,target_share_all,target_share_final100,cumulative_fake_reposts,target_fake_rate_all,target_unique_reposters_p400,fake_repost_share_during,fake_repost_share_post100
news-source-strategies,RQ1,E1-strategy-comparison,engagement,1020,ENGAGEMENT,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.10595,0.12165999999999999,0.0108,0.00882,21190,0.7025,445,0.10595,
news-source-strategies,RQ1,E1-strategy-comparison,engagement,1021,ENGAGEMENT,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.10679000000000001,0.15362,0.011619999999999998,0.01384,21358,0.685,466,0.10679000000000001,
news-source-strategies,RQ1,E1-strategy-comparison,engagement,1022,ENGAGEMENT,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.11951,0.12114,0.01053,0.01256,23902,0.675,443,0.11951,
news-source-strategies,RQ1,E1-strategy-comparison,engagement,1023,ENGAGEMENT,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.134355,0.1257,0.01217,0.01044,26871,0.6625,460,0.134355,
news-source-strategies,RQ1,E1-strategy-comparison,engagement,1024,ENGAGEMENT,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.108735,0.1211,0.00934,0.009179999999999999,21747,0.67,427,0.108735,
news-source-strategies,RQ1,E1-strategy-comparison,engagement,1025,ENGAGEMENT,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.116135,0.09759999999999999,0.01185,0.00646,23227,0.6525,452,0.116135,
news-source-strategies,RQ1,E1-strategy-comparison,engagement,1026,ENGAGEMENT,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.09511,0.04466,0.012145,0.0024,19022,0.6775,461,0.09511,
news-source-strategies,RQ1,E1-strategy-comparison,engagement,1027,ENGAGEMENT,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.10497,0.0798,0.012565,0.00722,20994,0.65,457,0.10497,
news-source-strategies,RQ1,E1-strategy-comparison,engagement,1028,ENGAGEMENT,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.13126,0.17834,0.0145,0.0211,26252,0.6325,470,0.13126,
news-source-strategies,RQ1,E1-strategy-comparison,engagement,1029,ENGAGEMENT,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.100125,0.13238,0.009535,0.01456,20025,0.6725,434,0.100125,
news-source-strategies,RQ1,E1-strategy-comparison,engagement,1030,ENGAGEMENT,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.091565,0.0915,0.010055,0.0065,18313,0.68,450,0.091565,
news-source-strategies,RQ1,E1-strategy-comparison,proximity,1001,PROXIMITY,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.10542499999999999,0.12494,0.011869999999999999,0.01234,21085,0.6875,457,0.10542499999999999,
news-source-strategies,RQ1,E1-strategy-comparison,proximity,1002,PROXIMITY,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.081785,0.04348,0.008745,0.00262,16357,0.6875,430,0.081785,
news-source-strategies,RQ1,E1-strategy-comparison,proximity,1003,PROXIMITY,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.107935,0.13041999999999998,0.0116,0.01042,21587,0.66,454,0.107935,
news-source-strategies,RQ1,E1-strategy-comparison,proximity,1004,PROXIMITY,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.12182,0.06602,0.016665,0.00578,24364,0.6775,489,0.12182,
news-source-strategies,RQ1,E1-strategy-comparison,proximity,1005,PROXIMITY,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.130895,0.12098,0.015314999999999999,0.0126,26179,0.65,483,0.130895,
news-source-strategies,RQ1,E1-strategy-comparison,proximity,1006,PROXIMITY,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.106295,0.07912000000000001,0.01402,0.00836,21259,0.6675,478,0.106295,
news-source-strategies,RQ1,E1-strategy-comparison,proximity,1007,PROXIMITY,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.14655500000000002,0.05718,0.025945,0.00634,29311,0.6975,500,0.14655500000000002,
news-source-strategies,RQ1,E1-strategy-comparison,proximity,1008,PROXIMITY,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.12423999999999999,0.11654,0.016815,0.013,24848,0.6625,494,0.12423999999999999,
news-source-strategies,RQ1,E1-strategy-comparison,proximity,1009,PROXIMITY,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.158185,0.0778,0.026555,0.011980000000000001,31637,0.6775,500,0.158185,
news-source-strategies,RQ1,E1-strategy-comparison,proximity,1010,PROXIMITY,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.15356,0.07586,0.029165,0.00434,30712,0.64,500,0.15356,
news-source-strategies,RQ1,E1-strategy-comparison,proximity,1011,PROXIMITY,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.08874,0.05454,0.008975,0.0028,17748,0.695,430,0.08874,
news-source-strategies,RQ1,E1-strategy-comparison,proximity,1012,PROXIMITY,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.125875,0.1396,0.012825,0.013,25175,0.64,466,0.125875,
news-source-strategies,RQ1,E1-strategy-comparison,proximity,1013,PROXIMITY,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.08771999999999999,0.08662,0.00836,0.0074,17544,0.6725,416,0.08771999999999999,
news-source-strategies,RQ1,E1-strategy-comparison,proximity,1014,PROXIMITY,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.11484,0.05294,0.011994999999999999,0.00266,22968,0.7075,464,0.11484,
news-source-strategies,RQ1,E1-strategy-comparison,proximity,1015,PROXIMITY,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.129615,0.13334000000000001,0.015825,0.012,25923,0.6525,482,0.129615,
news-source-strategies,RQ1,E1-strategy-comparison,proximity,1016,PROXIMITY,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.109045,0.11896,0.012525,0.009,21809,0.66,455,0.109045,
news-source-strategies,RQ1,E1-strategy-comparison,proximity,1017,PROXIMITY,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.11381000000000001,0.13058,0.01248,0.010539999999999999,22762,0.665,458,0.11381000000000001,
news-source-strategies,RQ1,E1-strategy-comparison,proximity,1018,PROXIMITY,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.117725,0.0872,0.011945,0.00532,23545,0.6625,460,0.117725,
news-source-strategies,RQ1,E1-strategy-comparison,proximity,1019,PROXIMITY,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.09724,0.054200000000000005,0.01002,0.00304,19448,0.6825,449,0.09724,
news-source-strategies,RQ1,E1-strategy-comparison,proximity,1020,PROXIMITY,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.10506,0.12093999999999999,0.010775,0.00894,21012,0.7025,445,0.10506,
news-source-strategies,RQ1,E1-strategy-comparison,proximity,1021,PROXIMITY,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.10674,0.15214,0.01211,0.01358,21348,0.685,465,0.10674,
news-source-strategies,RQ1,E1-strategy-comparison,proximity,1022,PROXIMITY,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.119085,0.11986,0.01105,0.01284,23817,0.675,448,0.119085,
news-source-strategies,RQ1,E1-strategy-comparison,proximity,1023,PROXIMITY,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.133825,0.12376000000000001,0.01286,0.00994,26765,0.6625,469,0.133825,
news-source-strategies,RQ1,E1-strategy-comparison,proximity,1024,PROXIMITY,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.108085,0.12096,0.009535,0.009720000000000001,21617,0.67,436,0.108085,
news-source-strategies,RQ1,E1-strategy-comparison,proximity,1025,PROXIMITY,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.11485,0.09706000000000001,0.01159,0.00634,22970,0.6525,455,0.11485,
news-source-strategies,RQ1,E1-strategy-comparison,proximity,1026,PROXIMITY,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.09305,0.04442,0.011269999999999999,0.0026,18610,0.6775,470,0.09305,
news-source-strategies,RQ1,E1-strategy-comparison,proximity,1027,PROXIMITY,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.104345,0.07781999999999999,0.01255,0.006019999999999999,20869,0.65,467,0.104345,
news-source-strategies,RQ1,E1-strategy-comparison,proximity,1028,PROXIMITY,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.132025,0.18096,0.01675,0.02652,26405,0.6325,478,0.132025,
news-source-strategies,RQ1,E1-strategy-comparison,proximity,1029,PROXIMITY,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.100065,0.13291999999999998,0.01017,0.0157,20013,0.6725,446,0.100065,
news-source-strategies,RQ1,E1-strategy-comparison,proximity,1030,PROXIMITY,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.09085,0.09056,0.01,0.00608,18170,0.68,449,0.09085,
news-source-strategies,RQ1,E1-strategy-comparison,informational,1001,INFORMATIONAL_CAMOUFLAGE,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.105075,0.12445999999999999,0.011814999999999999,0.01194,21015,0.6875,459,0.105075,
news-source-strategies,RQ1,E1-strategy-comparison,informational,1002,INFORMATIONAL_CAMOUFLAGE,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.082095,0.04342,0.009035,0.0026,16419,0.6875,444,0.082095,
news-source-strategies,RQ1,E1-strategy-comparison,informational,1003,INFORMATIONAL_CAMOUFLAGE,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.108465,0.13163999999999998,0.01247,0.01208,21693,0.66,465,0.108465,
news-source-strategies,RQ1,E1-strategy-comparison,informational,1004,INFORMATIONAL_CAMOUFLAGE,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.12192,0.0654,0.016975,0.00546,24384,0.6775,491,0.12192,
news-source-strategies,RQ1,E1-strategy-comparison,informational,1005,INFORMATIONAL_CAMOUFLAGE,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.13234,0.122,0.016954999999999998,0.01414,26468,0.65,486,0.13234,
news-source-strategies,RQ1,E1-strategy-comparison,informational,1006,INFORMATIONAL_CAMOUFLAGE,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.10638,0.07937999999999999,0.01416,0.00858,21276,0.6675,477,0.10638,
news-source-strategies,RQ1,E1-strategy-comparison,informational,1007,INFORMATIONAL_CAMOUFLAGE,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.14784,0.057280000000000005,0.02714,0.00632,29568,0.6975,500,0.14784,
news-source-strategies,RQ1,E1-strategy-comparison,informational,1008,INFORMATIONAL_CAMOUFLAGE,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.12389499999999999,0.117,0.016735,0.01366,24779,0.6625,493,0.12389499999999999,
