research_question,condition,strategy,start_period,end_period,target_reach,wom,contacts,memory,memory_half_life,n,fake_repost_share_all_mean,fake_repost_share_all_sd,fake_repost_share_final100_mean,fake_repost_share_final100_sd,target_share_all_mean,target_share_all_sd,target_share_final100_mean,target_share_final100_sd,fake_repost_share_decisions_mean,fake_repost_share_decisions_sd,target_share_decisions_mean,target_share_decisions_sd,participation_rate_mean,participation_rate_sd,cumulative_fake_reposts_mean,cumulative_fake_reposts_sd,target_unique_reposters_p400_mean,target_unique_reposters_p400_sd,fake_repost_share_during_mean,fake_repost_share_during_sd,fake_repost_share_post100_mean,fake_repost_share_post100_sd,total_decisions_mean,total_decisions_sd,target_unique_reposters_p25_mean,target_unique_reposters_p25_sd,target_unique_reposters_p50_mean,target_unique_reposters_p50_sd,target_unique_reposters_p100_mean,target_unique_reposters_p100_sd,target_unique_reposters_p200_mean,target_unique_reposters_p200_sd,target_time_to_25pct_final_mean,target_time_to_25pct_final_sd,target_time_to_50pct_final_mean,target_time_to_50pct_final_sd,target_time_to_75pct_final_mean,target_time_to_75pct_final_sd,selections_traditional_media_all_mean,selections_traditional_media_all_sd,selections_unknown_media_all_mean,selections_unknown_media_all_sd,selections_fake_news_source_all_mean,selections_fake_news_source_all_sd,selections_mixed_source_all_mean,selections_mixed_source_all_sd
RQ2,credibility_p101_d25,CREDIBILITY_CAMOUFLAGE,101.0,125.0,,1.0,5.0,-1.0,0.33,30,0.11467033333333333,0.01921202496701827,0.10053999999999995,0.035459177888830476,0.013315999999999974,0.004875331005561888,0.008755333333333316,0.004700977692392065,0.11467033333333333,0.01921202496701827,0.013316,0.00487533100556189,1.0,0.0,22934.066666666666,3842.404993403654,459.73333333333335,23.610245194849618,0.08986933333333331,0.0788985708945061,0.11849866666666667,0.029997820579839296,200000.0,0.0,274.96666666666664,67.44882265956107,299.96666666666664,73.37644239707029,349.9,68.0113327270562,404.3,51.669473412824914,4.733333333333333,2.1485092399203194,24.833333333333332,29.020900118331287,100.0,57.16582050913604,185004.7,15732.323517259749,8197.666666666666,13922.086494768522,2663.2,975.0662011123778,4134.433333333333,1509.9278512869262
RQ2,credibility_p101_d100,CREDIBILITY_CAMOUFLAGE,101.0,200.0,,1.0,5.0,-1.0,0.33,30,0.1146065,0.019142091197960436,0.10055399999999996,0.03545026361460275,0.01336933333333332,0.0048489877602289795,0.008756666666666645,0.004699878452818156,0.1146065,0.019142091197960436,0.013369333333333332,0.004848987760228992,1.0,0.0,22921.3,3828.418239592088,460.5,23.21080307336101,0.11379933333333334,0.04055339995383978,0.10739533333333331,0.038843623781848004,200000.0,0.0,274.96666666666664,67.44882265956107,299.96666666666664,73.37644239707029,349.9,68.0113327270562,405.23333333333335,51.26044608987843,4.766666666666667,2.1605129233480698,24.866666666666667,29.016919360872926,100.93333333333334,58.29528479975938,185073.0,15657.30209067388,8153.133333333333,13887.409486922723,2673.866666666667,969.7975520457983,4100.0,1494.27004437526
RQ2,credibility_p101_permanent,CREDIBILITY_CAMOUFLAGE,101.0,-1.0,,1.0,5.0,-1.0,0.33,30,0.1145438333333333,0.019205616262066343,0.10033466666666666,0.03538690306463321,0.013499666666666658,0.004941045005575892,0.008923333333333316,0.004829647187323618,0.11454383333333332,0.019205616262066346,0.013499666666666668,0.0049410450055758885,1.0,0.0,22908.766666666666,3841.1232524132683,461.56666666666666,22.387932915521368,0.10716599999999997,0.018862993781638436,,,200000.0,0.0,274.96666666666664,67.44882265956107,299.96666666666664,73.37644239707029,349.9,68.0113327270562,405.23333333333335,51.26044608987843,4.8,2.1559860533104023,24.8,29.04384319586867,102.7,58.640429739216614,185194.66666666666,15694.960588834158,8072.266666666666,13905.453603764126,2699.9333333333334,988.2090011151778,4033.133333333333,1495.8755418755964
RQ2,credibility_p201_d25,CREDIBILITY_CAMOUFLAGE,201.0,225.0,,1.0,5.0,-1.0,0.33,30,0.1146455,0.01914601976958243,0.10053733333333328,0.03545457267656967,0.013302999999999973,0.00483168004621225,0.008755333333333316,0.004699052533505418,0.11464550000000001,0.019146019769582436,0.013303,0.00483168004621224,1.0,0.0,22929.1,3829.2039539164866,459.8,23.088136974765142,0.10816533333333331,0.06422167448784709,0.10606866666666664,0.029450429507240118,200000.0,0.0,274.96666666666664,67.44882265956107,299.96666666666664,73.37644239707029,349.9,68.0113327270562,403.8666666666667,51.46725328711005,4.766666666666667,2.1605129233480698,24.766666666666666,28.975237148573814,100.2,57.36417240632056,185016.6,15667.811047076633,8191.466666666666,13892.82651843261,2660.6,966.3360092424481,4131.333333333333,1497.2983332825074
RQ2,credibility_p201_d100,CREDIBILITY_CAMOUFLAGE,201.0,300.0,,1.0,5.0,-1.0,0.33,30,0.11459749999999999,0.019205024115920902,0.10041399999999998,0.03536148192791035,0.013340499999999996,0.004905834202675214,0.008635999999999986,0.0045632335782485635,0.1145975,0.0192050241159209,0.013340499999999998,0.004905834202675212,1.0,0.0,22919.5,3841.0048231841806,459.8666666666667,22.91172464998612,0.10742933333333332,0.039084037038980085,0.10041399999999998,0.03536148192791035,200000.0,0.0,274.96666666666664,67.44882265956107,299.96666666666664,73.37644239707029,349.9,68.0113327270562,403.8666666666667,51.46725328711005,4.766666666666667,2.1605129233480698,24.733333333333334,28.989811924231226,100.23333333333333,57.447237161340176,185076.5,15702.01184946342,8154.066666666667,13903.12594454517,2668.1,981.1668405350423,4101.333333333333,1501.55657932678
RQ2,credibility_p201_permanent,CREDIBILITY_CAMOUFLAGE,201.0,-1.0,,1.0,5.0,-1.0,0.33,30,0.11457433333333329,0.01918862453666742,0.10032133333333332,0.035395283119738385,0.013412166666666647,0.0048946719243608645,0.008922666666666652,0.0048306142490358766,0.11457433333333332,0.019188624536667434,0.013412166666666666,0.004894671924360859,1.0,0.0,22914.866666666665,3837.7249073334865,460.5,22.639224429264814,0.10387533333333332,0.02365347007178401,,,200000.0,0.0,274.96666666666664,67.44882265956107,299.96666666666664,73.37644239707029,349.9,68.0113327270562,403.8666666666667,51.46725328711005,4.8,2.1559860533104023,24.8,29.03553114660583,100.0,57.5302019632387,185131.9,15696.743623088372,8116.633333333333,13905.374481890418,2682.4333333333334,978.9343848721718,4069.0333333333333,1499.4870498419377
RQ2,informational_p1_d25,INFORMATIONAL_CAMOUFLAGE,1.0,25.0,,1.0,5.0,-1.0,0.33,30,0.11456499999999999,0.019015280244020098,0.10053066666666663,0.03547979696452161,0.013433166666666644,0.004830431815375165,0.008737999999999989,0.004717709409127005,0.11456500000000001,0.01901528024402009,0.013433166666666668,0.004830431815375154,1.0,0.0,22913.0,3803.056048804018,462.03333333333336,22.243919484276788,0.1796613333333333,0.050102419497866854,0.11386399999999998,0.04122695348668276,200000.0,0.0,287.53333333333336,70.02547976338295,311.5,74.00407724089169,357.56666666666666,66.84551584441357,409.3,50.14472159109347,4.8,2.1237572430921112,23.8,28.311567028093076,89.4,57.555130991496114,185081.06666666668,15700.589292549927,8159.333333333333,13924.455039997778,2686.633333333333,966.0863630750308,4072.9666666666667,1451.2896876472541
RQ2,informational_p1_d100,INFORMATIONAL_CAMOUFLAGE,1.0,100.0,,1.0,5.0,-1.0,0.33,30,0.11459866666666667,0.01913706053948605,0.10053399999999996,0.035475666317768516,0.013631833333333312,0.005048823263947234,0.008743333333333322,0.004714409557013933,0.11459866666666668,0.019137060539486047,0.013631833333333334,0.005048823263947225,1.0,0.0,22919.733333333334,3827.4121078972094,462.93333333333334,22.41910105142539,0.13656666666666664,0.037065874753799716,0.11381266666666663,0.039968459455730417,200000.0,0.0,287.53333333333336,70.02547976338295,313.06666666666666,74.89944216602424,362.5,67.49086783691043,412.53333333333336,49.858927422059146,4.8,2.1237572430921112,22.1,22.617280546306727,85.4,55.389903225320275,185157.43333333332,15670.970479560747,8073.266666666666,13885.318003717734,2726.366666666667,1009.764652789445,4042.9333333333334,1455.0724104113272
RQ2,informational_p1_permanent,INFORMATIONAL_CAMOUFLAGE,1.0,-1.0,,1.0,5.0,-1.0,0.33,30,0.114568,0.01910797047091191,0.10059866666666666,0.03571624103993851,0.014151166666666654,0.0052604521051497774,0.009443333333333331,0.005289954261801704,0.114568,0.019107970470911905,0.014151166666666666,0.005260452105149777,1.0,0.0,22913.6,3821.5940941823815,465.3666666666667,20.82850058889524,0.114568,0.01910797047091191,,,200000.0,0.0,287.53333333333336,70.02547976338295,313.06666666666666,74.89944216602424,362.5,67.49086783691043,413.6,49.34369260604642,4.833333333333333,2.1186093899363416,24.3,28.675533245199674,88.86666666666666,57.01647271551915,185360.96666666667,15527.580321931133,7890.033333333334,13712.901673577166,2830.233333333333,1052.0904210299555,3918.766666666667,1439.7991402858302
RQ2,informational_p101_d25,INFORMATIONAL_CAMOUFLAGE,101.0,125.0,,1.0,5.0,-1.0,0.33,30,0.11459983333333332,0.019085625683479313,0.1005413333333333,0.035457399376924305,0.01330983333333332,0.004853291006312532,0.008755333333333316,0.004700977692392065,0.11459983333333332,0.01908562568347931,0.013309833333333333,0.0048532910063125234,1.0,0.0,22919.966666666667,3817.125136695862,459.4,23.373430244174912,0.08988533333333332,0.07883517137951043,0.11819266666666664,0.029327325839897847,200000.0,0.0,274.96666666666664,67.44882265956107,299.96666666666664,73.37644239707029,349.9,68.0113327270562,403.96666666666664,51.35507451227112,4.733333333333333,2.1485092399203194,24.766666666666666,28.975237148573814,100.0,57.16582050913604,185078.0,15453.773787520706,8132.333333333333,13647.802269288972,2661.9666666666667,970.6582012625046,4127.7,1505.955765939198
RQ2,informational_p101_d100,INFORMATIONAL_CAMOUFLAGE,101.0,200.0,,1.0,5.0,-1.0,0.33,30,0.1145095,0.01899552439800419,0.10055599999999995,0.03544542318590069,0.013415666666666649,0.0049132440181217625,0.00876199999999998,0.004699808800219505,0.1145095,0.018995524398004192,0.013415666666666663,0.004913244018121754,1.0,0.0,22901.9,3799.1048796008386,460.4,23.426480742954116,0.11348199999999996,0.0395336041606509,0.10732266666666666,0.038863773658620766,200000.0,0.0,274.96666666666664,67.44882265956107,299.96666666666664,73.37644239707029,349.9,68.0113327270562,405.6333333333333,51.31813105241308,4.766666666666667,2.1605129233480698,24.833333333333332,29.020900118331287,101.43333333333334,58.382616291645164,185187.26666666666,15234.767969970877,8048.0,13440.259711160654,2683.133333333333,982.6488036243508,4081.6,1496.7799598724796
RQ2,informational_p101_permanent,INFORMATIONAL_CAMOUFLAGE,101.0,-1.0,,1.0,5.0,-1.0,0.33,30,0.11457083333333334,0.019002175015405267,0.10060466666666666,0.03567906009405799,0.013795333333333324,0.004983382892922365,0.009455999999999992,0.005260702457355633,0.11457083333333334,0.01900217501540526,0.013795333333333331,0.004983382892922363,1.0,0.0,22914.166666666668,3800.4350030810524,462.46666666666664,22.236554764983083,0.10720199999999998,0.01863331364710164,,,200000.0,0.0,274.96666666666664,67.44882265956107,299.96666666666664,73.37644239707029,349.9,68.0113327270562,405.6333333333333,51.31813105241308,4.833333333333333,2.134823473818811,25.333333333333332,30.701379653749736,102.83333333333333,58.90616930007582,185264.86666666667,15239.654163270636,7964.366666666667,13447.423746303366,2759.0666666666666,996.6765785844727,4011.7,1483.4392971321279
RQ2,informational_p201_d25,INFORMATIONAL_CAMOUFLAGE,201.0,225.0,,1.0,5.0,-1.0,0.33,30,0.11464999999999999,0.019126070490662565,0.10054266666666661,0.03545102449113796,0.013320499999999994,0.004836684592241636,0.00875666666666665,0.004699992907796068,0.11465,0.019126070490662554,0.0133205,0.004836684592241631,1.0,0.0,22930.0,3825.2140981325115,459.9,23.15368444650388,0.10837599999999999,0.06450973610559721,0.10602999999999999,0.02940676429338829,200000.0,0.0,274.96666666666664,67.44882265956107,299.96666666666664,73.37644239707029,349.9,68.0113327270562,403.8666666666667,51.46725328711005,4.733333333333333,2.1485092399203194,24.733333333333334,28.935044178455918,100.5,57.6210868968333,185024.56666666668,15642.803756279474,8184.633333333333,13877.5715317753,2664.1,967.3369184483261,4126.7,1489.4768845655753
