study,research_question,experiment,condition,seed,strategy,from,to,start_period,end_period,target_reach,memory,memory_half_life,wom,contacts,friends,status,fake_repost_share_all,fake_repost_share_final100,target_share_all,target_share_final100,fake_repost_share_decisions,target_share_decisions,participation_rate,fake_repost_share_decisions_final100,target_share_decisions_final100,total_decisions,cumulative_fake_reposts,target_fake_rate_all,target_unique_reposters_p400,target_unique_reposters_p25,target_unique_reposters_p50,target_unique_reposters_p100,target_unique_reposters_p200,target_first_repost_period,fake_repost_share_during,fake_repost_share_post100,selections_traditional_media_all,selections_unknown_media_all,selections_fake_news_source_all,selections_mixed_source_all,target_time_to_25pct_final,target_time_to_50pct_final,target_time_to_75pct_final
news-source-strategies,RQ1,E1-strategy-comparison,control,1028,NONE,,,,,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.1321699999999999,0.18018,0.01588,0.0237,0.13217,0.01588,1.0,0.18018,0.0237,200000,26434,0.6325,475,289,351,377,400,1.0,0.1321699999999999,,187173,5249,3176,4402,4,8,54
news-source-strategies,RQ1,E1-strategy-comparison,control,1029,NONE,,,,,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.0999,0.13196,0.00956,0.0141199999999999,0.0999,0.00956,1.0,0.13196,0.01412,200000,19980,0.6725,433,160,187,208,277,1.0,0.0999,,192024,3400,1912,2664,4,135,238
news-source-strategies,RQ1,E1-strategy-comparison,control,1030,NONE,,,,,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.091325,0.0915,0.00999,0.0065,0.091325,0.00999,1.0,0.0915,0.0065,200000,18265,0.68,444,272,279,287,377,1.0,0.091325,,191190,4276,1998,2536,4,13,171
news-source-strategies,RQ1,E1-strategy-comparison,engagement,1001,ENGAGEMENT,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.1052999999999999,0.1241599999999999,0.01156,0.01142,0.1053,0.01156,1.0,0.12416,0.01142,200000,21060,0.6875,445,247,248,324,385,1.0,0.1052999999999999,,190966,3600,2312,3122,3,11,127
news-source-strategies,RQ1,E1-strategy-comparison,engagement,1002,ENGAGEMENT,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.08264,0.04384,0.00897,0.0028,0.08264,0.00897,1.0,0.04384,0.0028,200000,16528,0.6875,427,260,270,306,338,1.0,0.08264,,192078,3365,1794,2763,3,8,158
news-source-strategies,RQ1,E1-strategy-comparison,engagement,1003,ENGAGEMENT,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.1085199999999999,0.13082,0.01139,0.01,0.10852,0.01139,1.0,0.13082,0.01,200000,21704,0.66,457,203,253,332,383,1.0,0.1085199999999999,,189672,4889,2278,3161,7,39,134
news-source-strategies,RQ1,E1-strategy-comparison,engagement,1004,ENGAGEMENT,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.12198,0.0649,0.015695,0.00466,0.12198,0.015695,1.0,0.0649,0.00466,200000,24396,0.6775,489,263,274,391,462,1.0,0.12198,,186703,5497,3139,4661,3,14,89
news-source-strategies,RQ1,E1-strategy-comparison,engagement,1005,ENGAGEMENT,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.1314799999999999,0.12146,0.014935,0.0124,0.13148,0.014935,1.0,0.12146,0.0124,200000,26296,0.65,482,337,363,395,412,1.0,0.1314799999999999,,186732,5704,2987,4577,3,9,45
news-source-strategies,RQ1,E1-strategy-comparison,engagement,1006,ENGAGEMENT,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.10686,0.0788799999999999,0.01363,0.00814,0.10686,0.01363,1.0,0.07888,0.00814,200000,21372,0.6675,474,348,379,422,440,1.0,0.10686,,186323,4277,2726,6674,8,13,34
news-source-strategies,RQ1,E1-strategy-comparison,engagement,1007,ENGAGEMENT,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.147585,0.0575,0.02515,0.0059,0.147585,0.02515,1.0,0.0575,0.0059,200000,29517,0.6975,498,386,469,487,495,1.0,0.147585,,169652,18226,5030,7092,4,10,22
news-source-strategies,RQ1,E1-strategy-comparison,engagement,1008,ENGAGEMENT,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.12369,0.11756,0.01509,0.01216,0.12369,0.01509,1.0,0.11756,0.01216,200000,24738,0.6625,484,335,386,401,450,1.0,0.12369,,186801,5621,3018,4560,3,8,36
news-source-strategies,RQ1,E1-strategy-comparison,engagement,1009,ENGAGEMENT,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.157635,0.0780999999999999,0.02485,0.0116199999999999,0.157635,0.02485,1.0,0.0781,0.01162,200000,31527,0.6775,498,272,306,468,480,1.0,0.157635,,150748,37414,4970,6868,3,18,70
news-source-strategies,RQ1,E1-strategy-comparison,engagement,1010,ENGAGEMENT,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.144955,0.07656,0.0255,0.00426,0.144955,0.0255,1.0,0.07656,0.00426,200000,28991,0.64,497,319,340,451,494,1.0,0.144955,,126656,60761,5100,7483,4,9,68
news-source-strategies,RQ1,E1-strategy-comparison,engagement,1011,ENGAGEMENT,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.089625,0.05472,0.009335,0.00276,0.089625,0.009335,1.0,0.05472,0.00276,200000,17925,0.695,428,234,252,344,370,1.0,0.089625,,192005,3145,1867,2983,3,11,78
news-source-strategies,RQ1,E1-strategy-comparison,engagement,1012,ENGAGEMENT,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.12666,0.13936,0.012755,0.01242,0.12666,0.012755,1.0,0.13936,0.01242,200000,25332,0.64,463,246,274,330,397,1.0,0.12666,,186799,4362,2551,6288,9,17,142
news-source-strategies,RQ1,E1-strategy-comparison,engagement,1013,ENGAGEMENT,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.08832,0.08714,0.0081999999999999,0.00714,0.08832,0.0082,1.0,0.08714,0.00714,200000,17664,0.6725,410,163,199,267,352,1.0,0.08832,,192753,3225,1640,2382,4,74,128
news-source-strategies,RQ1,E1-strategy-comparison,engagement,1014,ENGAGEMENT,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.114415,0.05312,0.01155,0.0029,0.114415,0.01155,1.0,0.05312,0.0029,200000,22883,0.7075,452,268,297,318,388,1.0,0.114415,,189653,4440,2310,3597,3,13,148
news-source-strategies,RQ1,E1-strategy-comparison,engagement,1015,ENGAGEMENT,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.1297299999999999,0.1325,0.014715,0.01078,0.12973,0.014715,1.0,0.1325,0.01078,200000,25946,0.6525,481,158,166,282,454,1.0,0.1297299999999999,,187236,5886,2943,3935,11,76,126
news-source-strategies,RQ1,E1-strategy-comparison,engagement,1016,ENGAGEMENT,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.10939,0.11878,0.01172,0.0083,0.10939,0.01172,1.0,0.11878,0.0083,200000,21878,0.66,447,311,313,339,368,1.0,0.10939,,189382,3826,2344,4448,5,9,93
news-source-strategies,RQ1,E1-strategy-comparison,engagement,1017,ENGAGEMENT,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.114975,0.131,0.01272,0.00994,0.114975,0.01272,1.0,0.131,0.00994,200000,22995,0.665,461,335,355,382,415,1.0,0.114975,,189216,4407,2544,3833,4,8,35
news-source-strategies,RQ1,E1-strategy-comparison,engagement,1018,ENGAGEMENT,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.11797,0.08738,0.011605,0.005,0.11797,0.011605,1.0,0.08738,0.005,200000,23594,0.6625,457,307,310,336,430,1.0,0.11797,,189549,4675,2321,3455,4,8,105
news-source-strategies,RQ1,E1-strategy-comparison,engagement,1019,ENGAGEMENT,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.09675,0.0552,0.00897,0.0034,0.09675,0.00897,1.0,0.0552,0.0034,200000,19350,0.6825,437,250,256,300,370,1.0,0.09675,,191488,3940,1794,2778,4,16,141
news-source-strategies,RQ1,E1-strategy-comparison,engagement,1020,ENGAGEMENT,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.10595,0.1216599999999999,0.0108,0.00882,0.10595,0.0108,1.0,0.12166,0.00882,200000,21190,0.7025,445,305,317,350,373,1.0,0.10595,,188394,4019,2160,5427,7,11,68
news-source-strategies,RQ1,E1-strategy-comparison,engagement,1021,ENGAGEMENT,TRADITIONAL_MEDIA,FAKE_NEWS_SOURCE,1.0,-1.0,,-1.0,0.33,1.0,5.0,1.0,COMPLETE,0.10679,0.15362,0.0116199999999999,0.01384,0.10679,0.01162,1.0,0.15362,0.01384,200000,21358,0.685,466,310,318,339,391,1.0,0.10679,,187132,6228,2324,4316,6,15,122
