condition,strategy,start_period,end_period,window,window_start,window_end,metric,n_pairs,effect,se,ci95_low,ci95_high,cohens_dz,p_value
credibility_p101_d25,CREDIBILITY_CAMOUFLAGE,101,125,post_51_100,176,225,false_rate_agent_period,30,0.00016400000000000025,0.0001723759590672893,-0.0001885484210754733,0.0005165484210754738,0.1737026824329998,0.34925961817120527
credibility_p101_d25,CREDIBILITY_CAMOUFLAGE,101,125,post_51_100,176,225,false_share_decisions,30,0.00016400000000000025,0.0001723759590672893,-0.0001885484210754733,0.0005165484210754738,0.1737026824329998,0.34925961817120527
credibility_p101_d25,CREDIBILITY_CAMOUFLAGE,101,125,post_51_100,176,225,target_share_decisions,30,6.266666666666667e-05,7.417118028368116e-05,-8.903042984148675e-05,0.00021436376317482007,0.15425554240749678,0.4050876885304815
credibility_p101_d25,CREDIBILITY_CAMOUFLAGE,101,125,post_51_100,176,225,participation_rate,30,0.0,0.0,0.0,0.0,,
credibility_p101_d100,CREDIBILITY_CAMOUFLAGE,101,200,during,101,200,false_rate_agent_period,30,-7.000000000000039e-05,0.0001516825178024699,-0.0003802255816029332,0.00024022558160293243,-0.08425620297981264,0.6478899274351341
credibility_p101_d100,CREDIBILITY_CAMOUFLAGE,101,200,during,101,200,false_share_decisions,30,-7.000000000000039e-05,0.0001516825178024699,-0.0003802255816029332,0.00024022558160293243,-0.08425620297981264,0.6478899274351341
credibility_p101_d100,CREDIBILITY_CAMOUFLAGE,101,200,during,101,200,target_share_decisions,30,0.0004160000000000003,0.00015757180446773593,9.372947473824852e-05,0.0007382705252617521,0.48200794275307435,0.013205024028867182
credibility_p101_d100,CREDIBILITY_CAMOUFLAGE,101,200,during,101,200,participation_rate,30,0.0,0.0,0.0,0.0,,
credibility_p101_d100,CREDIBILITY_CAMOUFLAGE,101,200,post_1_25,201,225,false_rate_agent_period,30,-0.00026133333333333455,0.00017953947046802458,-0.0006285327802673475,0.00010586611360067838,-0.265750592003624,0.1562508493257718
credibility_p101_d100,CREDIBILITY_CAMOUFLAGE,101,200,post_1_25,201,225,false_share_decisions,30,-0.00026133333333333455,0.00017953947046802458,-0.0006285327802673475,0.00010586611360067838,-0.265750592003624,0.1562508493257718
credibility_p101_d100,CREDIBILITY_CAMOUFLAGE,101,200,post_1_25,201,225,target_share_decisions,30,-0.00021066666666666678,8.520824164624246e-05,-0.0003849370882355681,-3.639624509776544e-05,-0.4513917246284099,0.019530070851923653
credibility_p101_d100,CREDIBILITY_CAMOUFLAGE,101,200,post_1_25,201,225,participation_rate,30,0.0,0.0,0.0,0.0,,
credibility_p101_d100,CREDIBILITY_CAMOUFLAGE,101,200,post_26_50,226,250,false_rate_agent_period,30,-5.866666666666659e-05,6.243292185858928e-05,-0.00018635632909680814,6.902299576347498e-05,-0.17156042971340857,0.35514570695924336
credibility_p101_d100,CREDIBILITY_CAMOUFLAGE,101,200,post_26_50,226,250,false_share_decisions,30,-5.866666666666659e-05,6.243292185858928e-05,-0.00018635632909680814,6.902299576347498e-05,-0.17156042971340857,0.35514570695924336
credibility_p101_d100,CREDIBILITY_CAMOUFLAGE,101,200,post_26_50,226,250,target_share_decisions,30,-4.799999999999994e-05,5.773980479245898e-05,-0.00016609116029249295,7.009116029249305e-05,-0.1517767673718772,0.41258812648136395
credibility_p101_d100,CREDIBILITY_CAMOUFLAGE,101,200,post_26_50,226,250,participation_rate,30,0.0,0.0,0.0,0.0,,
credibility_p101_d100,CREDIBILITY_CAMOUFLAGE,101,200,post_51_100,251,300,false_rate_agent_period,30,-1.1999999999999973e-05,9.617990805071392e-06,-3.167099989229177e-05,7.670999892291817e-06,-0.22779084264308538,0.22213613054809425
credibility_p101_d100,CREDIBILITY_CAMOUFLAGE,101,200,post_51_100,251,300,false_share_decisions,30,-1.1999999999999973e-05,9.617990805071392e-06,-3.167099989229177e-05,7.670999892291817e-06,-0.22779084264308538,0.22213613054809425
credibility_p101_d100,CREDIBILITY_CAMOUFLAGE,101,200,post_51_100,251,300,target_share_decisions,30,-8.000000000000022e-06,5.880026585286697e-06,-2.0026004668756712e-05,4.026004668756669e-06,-0.24839912974802164,0.18414134229197163
credibility_p101_d100,CREDIBILITY_CAMOUFLAGE,101,200,post_51_100,251,300,participation_rate,30,0.0,0.0,0.0,0.0,,
credibility_p101_permanent,CREDIBILITY_CAMOUFLAGE,101,-1,during,101,400,false_rate_agent_period,30,-0.0001308888888888878,7.874850171224984e-05,-0.0002919476588643191,3.016988108654349e-05,-0.303458882444063,0.10726371331234442
credibility_p101_permanent,CREDIBILITY_CAMOUFLAGE,101,-1,during,101,400,false_share_decisions,30,-0.0001308888888888878,7.874850171224984e-05,-0.0002919476588643191,3.016988108654349e-05,-0.303458882444063,0.10726371331234442
credibility_p101_permanent,CREDIBILITY_CAMOUFLAGE,101,-1,during,101,400,target_share_decisions,30,0.00029,8.492788616995932e-05,0.00011630296976152717,0.00046369703023847286,0.6234290794216693,0.0019062217656147112
credibility_p101_permanent,CREDIBILITY_CAMOUFLAGE,101,-1,during,101,400,participation_rate,30,0.0,0.0,0.0,0.0,,
credibility_p201_d25,CREDIBILITY_CAMOUFLAGE,201,225,during,201,225,false_rate_agent_period,30,0.00022933333333333323,0.00011292448227606726,-1.6231651401685699e-06,0.000460289831806835,0.37078183379058544,0.0515268194750479
credibility_p201_d25,CREDIBILITY_CAMOUFLAGE,201,225,during,201,225,false_share_decisions,30,0.00022933333333333323,0.00011292448227606726,-1.6231651401685699e-06,0.000460289831806835,0.37078183379058544,0.0515268194750479
credibility_p201_d25,CREDIBILITY_CAMOUFLAGE,201,225,during,201,225,target_share_decisions,30,0.0005386666666666665,0.00016114228262328336,0.00020909369364460176,0.0008682396396887312,0.6103092652166499,0.0022979099268133486
credibility_p201_d25,CREDIBILITY_CAMOUFLAGE,201,225,during,201,225,participation_rate,30,0.0,0.0,0.0,0.0,,
credibility_p201_d25,CREDIBILITY_CAMOUFLAGE,201,225,post_1_25,226,250,false_rate_agent_period,30,-5.599999999999965e-05,9.206893968745646e-05,-0.0002443021245685136,0.00013230212456851433,-0.11104889924300913,0.5477630365695144
credibility_p201_d25,CREDIBILITY_CAMOUFLAGE,201,225,post_1_25,226,250,false_share_decisions,30,-5.599999999999965e-05,9.206893968745646e-05,-0.0002443021245685136,0.00013230212456851433,-0.11104889924300913,0.5477630365695144
credibility_p201_d25,CREDIBILITY_CAMOUFLAGE,201,225,post_1_25,226,250,target_share_decisions,30,-0.0001039999999999999,9.996045194987352e-05,-0.00030844207936886296,0.00010044207936886316,-0.18995227568966355,0.30674558655642864
credibility_p201_d25,CREDIBILITY_CAMOUFLAGE,201,225,post_1_25,226,250,participation_rate,30,0.0,0.0,0.0,0.0,,
credibility_p201_d25,CREDIBILITY_CAMOUFLAGE,201,225,post_26_50,251,275,false_rate_agent_period,30,-8.000000000000044e-05,7.030965990432665e-05,-0.00022379940056459848,6.379940056459761e-05,-0.20773724245970507,0.26450765339011445
credibility_p201_d25,CREDIBILITY_CAMOUFLAGE,201,225,post_26_50,251,275,false_share_decisions,30,-8.000000000000044e-05,7.030965990432665e-05,-0.00022379940056459848,6.379940056459761e-05,-0.20773724245970507,0.26450765339011445
credibility_p201_d25,CREDIBILITY_CAMOUFLAGE,201,225,post_26_50,251,275,target_share_decisions,30,-7.733333333333346e-05,4.192750539696181e-05,-0.00016308471019187864,8.418043525211714e-06,-0.3367495928404892,0.0753546782304652
credibility_p201_d25,CREDIBILITY_CAMOUFLAGE,201,225,post_26_50,251,275,participation_rate,30,0.0,0.0,0.0,0.0,,
credibility_p201_d25,CREDIBILITY_CAMOUFLAGE,201,225,post_51_100,276,325,false_rate_agent_period,30,-1.866666666666683e-05,2.4764329804202976e-05,-6.931540804977311e-05,3.198207471643945e-05,-0.1376193701128408,0.4570627961224422
credibility_p201_d25,CREDIBILITY_CAMOUFLAGE,201,225,post_51_100,276,325,false_share_decisions,30,-1.866666666666683e-05,2.4764329804202976e-05,-6.931540804977311e-05,3.198207471643945e-05,-0.1376193701128408,0.4570627961224422
credibility_p201_d25,CREDIBILITY_CAMOUFLAGE,201,225,post_51_100,276,325,target_share_decisions,30,-1.3333333333333382e-05,1.8328630535804116e-05,-5.0819591804858566e-05,2.4152925138191798e-05,-0.13281529534055547,0.4727771989338119
credibility_p201_d25,CREDIBILITY_CAMOUFLAGE,201,225,post_51_100,276,325,participation_rate,30,0.0,0.0,0.0,0.0,,
credibility_p201_d100,CREDIBILITY_CAMOUFLAGE,201,300,during,201,300,false_rate_agent_period,30,-5.200000000000204e-05,0.00010558909731247993,-0.0002679539517095205,0.00016395395170951642,-0.08991323825155138,0.6260915000826184
credibility_p201_d100,CREDIBILITY_CAMOUFLAGE,201,300,during,201,300,false_share_decisions,30,-5.200000000000204e-05,0.00010558909731247993,-0.0002679539517095205,0.00016395395170951642,-0.08991323825155138,0.6260915000826184
credibility_p201_d100,CREDIBILITY_CAMOUFLAGE,201,300,during,201,300,target_share_decisions,30,0.00035266666666666666,0.00010613581987499038,0.00013559454176627906,0.0005697387915670543,0.6066550351584153,0.002420140414534971
credibility_p201_d100,CREDIBILITY_CAMOUFLAGE,201,300,during,201,300,participation_rate,30,0.0,0.0,0.0,0.0,,
credibility_p201_d100,CREDIBILITY_CAMOUFLAGE,201,300,post_1_25,301,325,false_rate_agent_period,30,-0.0002453333333333372,0.000185306042810038,-0.0006243267449547385,0.00013366007828806415,-0.24171652965171375,0.19586584257103656
credibility_p201_d100,CREDIBILITY_CAMOUFLAGE,201,300,post_1_25,301,325,false_share_decisions,30,-0.0002453333333333372,0.000185306042810038,-0.0006243267449547385,0.00013366007828806415,-0.24171652965171375,0.19586584257103656
credibility_p201_d100,CREDIBILITY_CAMOUFLAGE,201,300,post_1_25,301,325,target_share_decisions,30,-0.000216,0.00012524330344362231,-0.0004721513166815172,4.015131668151721e-05,-0.314875311142874,0.09523671935608573
credibility_p201_d100,CREDIBILITY_CAMOUFLAGE,201,300,post_1_25,301,325,participation_rate,30,0.0,0.0,0.0,0.0,,
