phase,memory,wom,fake_effect,true_effect,contacts,friends,source_reach,target_reach,cell,timing,scope,fake,fake_se,fake_low,fake_high,n_pairs,target,target_se,target_low,target_high,cumulative,cumulative_se,cumulative_low,cumulative_high
strategy,-1,1,-1,1,15,0.33,0,default,strategy_m-1_f-1_credibility_p25,25,credibility,-0.005220454545454551,0.00018868017015990035,-0.005640860163187206,-0.004800048927721895,11,0.005193181818181817,0.00015616464610856688,0.004845225302880632,0.005541138333483003,-1229.909090909091,34.111702749391,-1305.914701112416,-1153.903480705766
strategy,-1,1,-1,1,15,0.33,0,default,strategy_m-1_f-1_credibility_p50,50,credibility,-0.0050795454545454624,0.00016292141795893258,-0.005442556995720454,-0.004716533913370471,11,0.0035999999999999726,0.00011401754250991209,0.003345953083725641,0.003854046916274304,-1032.6363636363637,35.747160784210976,-1112.2860014278644,-952.9867258448631
strategy,-1,1,-1,1,15,0.33,0,default,strategy_m-1_f-1_non-credibility_p100,100,non-credibility,0.002595454545454545,0.0001399601478107449,0.0022836039023876823,0.0029073051885214075,11,0.005090909090909101,0.00016529150308389702,0.004722616670984661,0.005459201510833541,230.72727272727272,12.283833358665815,203.35718636950438,258.09735908504103
strategy,-1,1,-1,1,15,0.33,0,default,strategy_m-1_f-1_non-credibility_p1,1,non-credibility,0.01756363636363638,0.0007958440604760704,0.01579038529236713,0.019336887434905626,11,0.03497727272727274,0.0011604684327766299,0.03239158792569951,0.03756295752884597,2737.2727272727275,78.15079722842255,2563.141899654378,2911.403554891077
strategy,-1,1,-1,1,15,0.33,0,default,strategy_m-1_f-1_non-credibility_p25,25,non-credibility,0.0065659090909091,0.00031114292110759995,0.005872639459868757,0.007259178721949443,11,0.01305909090909092,0.00047780597915786247,0.011994472843217942,0.014123708974963897,844.4545454545455,33.489581456263416,769.8351078750859,919.0739830340051
strategy,-1,1,-1,1,15,0.33,0,default,strategy_m-1_f-1_non-credibility_p50,50,non-credibility,0.0042500000000000185,0.00020113315354397732,0.003801847406166162,0.004698152593833875,11,0.008479545454545453,0.00029140759844202926,0.007830248862692754,0.009128842046398153,478.90909090909093,20.169939173953694,433.96766579340476,523.8505160247771
strategy,-1,1,0,1,15,0.33,0,default,strategy_m-1_f0_all_p100,100,all,-0.005172727272727296,0.00016792363474936754,-0.005546884447479114,-0.004798570097975478,11,0.007856818181818236,0.0003164808429699103,0.007151654919687611,0.00856198144394886,-788.4545454545455,26.82446767627836,-848.2231840679112,-728.6859068411798
strategy,-1,1,0,1,15,0.33,0,default,strategy_m-1_f0_all_p1,1,all,-0.010879545454545458,0.0007592671270692091,-0.012571298039404362,-0.009187792869686554,11,0.0778454545454546,0.0026524791537648417,0.0719353626888675,0.08375554640204172,-2434.181818181818,114.02853057513268,-2688.253217391176,-2180.11041897246
strategy,-1,1,0,1,15,0.33,0,default,strategy_m-1_f0_all_p25,25,all,-0.00663636363636364,0.00027467674464647107,-0.007248381562847555,-0.006024345709879725,11,0.023893181818181865,0.0008326169786029166,0.022037995579333284,0.025748368057030447,-1381.909090909091,51.39162551966729,-1496.416768396191,-1267.401413421991
strategy,-1,1,0,1,15,0.33,0,default,strategy_m-1_f0_all_p50,50,all,-0.005822727272727293,0.00021387800647307146,-0.006299277168535315,-0.005346177376919271,11,0.014904545454545538,0.0005992971089479678,0.013569228282215521,0.016239862626875556,-1086.6363636363637,42.72475814650899,-1181.8330572043176,-991.43967006841
